,Name,train time [s],layers,loss val,iters,Class_0_precs,Class_1_precs,Class_2_precs,Class_3_precs,Class_4_precs,Class_5_precs,Class_6_precs,Class_7_precs,Class_8_precs,Class_9_precs,Class_0_recall,Class_1_recall,Class_2_recall,Class_3_recall,Class_4_recall,Class_5_recall,Class_6_recall,Class_7_recall,Class_8_recall,Class_9_recall,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,Control_v1_0,25.890625,(),inf,187,0.961864407,0.902027027,0.791919192,0.796703297,0.864919355,0.831140351,0.901878914,0.875464684,0.785087719,0.865957447,0.917171717,0.948490231,0.832271762,0.843023256,0.879098361,0.832967033,0.907563025,0.900573614,0.733606557,0.775238095,454,0,19,3,1,5,5,3,5,0,0,534,10,3,2,2,0,2,10,0,1,12,392,15,4,5,6,14,21,1,2,5,30,435,2,17,5,4,13,3,0,6,5,1,429,1,15,7,8,16,5,8,7,21,1,379,14,0,17,3,5,1,14,0,6,7,432,1,9,1,1,1,8,9,4,1,0,471,4,24,1,20,8,50,5,22,2,7,358,15,3,5,2,9,42,17,0,29,11,407
1,Control_v1_1,25.515625,(),inf,181,0.948770492,0.921052632,0.791748527,0.818181818,0.919512195,0.81663113,0.893877551,0.873605948,0.771134021,0.824427481,0.935353535,0.93250444,0.855626327,0.819767442,0.772540984,0.841758242,0.920168067,0.898661568,0.766393443,0.822857143,463,0,14,1,0,5,5,3,4,0,0,525,19,2,1,2,1,1,12,0,3,9,403,14,2,5,5,10,19,1,2,6,27,423,1,20,6,5,21,5,2,6,6,0,377,5,17,10,13,52,7,7,4,18,0,383,16,0,19,1,3,1,12,0,7,6,438,1,8,0,1,1,13,12,5,0,0,470,3,18,2,11,9,37,4,28,2,6,374,15,5,4,2,10,13,15,0,32,12,432
2,Control_v1_2,30.46875,(),inf,215,0.939148073,0.915682968,0.851351351,0.833333333,0.828244275,0.861176471,0.891348089,0.884393064,0.733459357,0.834728033,0.935353535,0.964476021,0.802547771,0.804263566,0.889344262,0.804395604,0.930672269,0.877629063,0.795081967,0.76,463,0,9,1,1,4,5,3,9,0,0,543,7,1,1,1,1,1,8,0,5,15,378,15,3,3,8,11,31,2,4,8,23,415,2,19,7,6,25,7,0,4,3,0,434,0,15,5,8,19,5,7,4,18,4,366,16,1,30,4,6,1,4,0,7,6,443,1,8,0,2,2,8,10,5,0,0,459,6,31,1,10,7,32,9,18,2,5,388,16,7,3,1,6,58,8,0,27,16,399
3,Control_v1_3,28.28125,(),inf,201,0.956340956,0.927927928,0.811594203,0.828220859,0.911308204,0.893129771,0.891129032,0.91440501,0.691001698,0.792808219,0.929292929,0.914742451,0.832271762,0.784883721,0.842213115,0.771428571,0.928571429,0.837476099,0.834016393,0.881904762,460,0,8,1,1,2,5,3,15,0,0,515,21,1,1,1,1,3,20,0,4,11,392,10,4,3,7,11,27,2,2,6,33,405,1,13,5,6,37,8,0,5,4,0,411,1,17,2,11,37,6,8,4,25,2,351,17,1,39,2,3,1,4,0,7,6,442,1,11,1,1,1,8,11,3,0,0,438,8,53,1,5,8,27,4,12,2,4,407,18,4,3,1,9,17,4,0,10,14,463
4,Control_v1_4,25.953125,(),5.090024554,177,0.91913215,0.909401709,0.852017937,0.806754221,0.867924528,0.922222222,0.87254902,0.897142857,0.708791209,0.837573386,0.941414141,0.944937833,0.806794055,0.833333333,0.848360656,0.72967033,0.93487395,0.900573614,0.793032787,0.815238095,466,0,11,1,1,1,6,2,7,0,1,532,10,3,2,0,1,1,13,0,7,14,380,10,2,3,8,14,31,2,2,8,19,430,1,12,4,5,27,8,3,5,5,1,414,0,20,5,12,23,10,8,3,31,2,332,22,1,41,5,5,1,7,0,6,1,445,1,10,0,2,1,4,7,5,0,0,471,6,27,4,11,6,40,7,8,3,4,387,18,7,5,1,10,37,3,1,21,12,428
5,Control_v1_5,25.984375,(),inf,183,0.958506224,0.91826087,0.78627451,0.827655311,0.911894273,0.886699507,0.899590164,0.903543307,0.736448598,0.828729282,0.933333333,0.937833037,0.851380042,0.800387597,0.848360656,0.791208791,0.922268908,0.877629063,0.807377049,0.857142857,462,0,17,1,1,2,5,3,4,0,0,528,19,1,1,1,1,1,11,0,2,9,401,13,3,3,5,11,22,2,2,8,29,413,0,15,4,5,32,8,1,6,6,0,414,0,16,5,10,30,6,7,4,24,0,360,16,1,34,3,2,1,12,0,7,5,439,1,8,1,1,1,10,6,4,0,0,459,5,37,3,11,10,33,4,13,2,6,394,12,3,4,2,8,20,7,0,16,15,450
6,Control_v1_6,27.328125,(),inf,198,0.967532468,0.914930556,0.766990291,0.816367265,0.9004329,0.818181818,0.885311871,0.852517986,0.79006772,0.823193916,0.903030303,0.936056838,0.838641189,0.792635659,0.852459016,0.830769231,0.924369748,0.906309751,0.717213115,0.824761905,447,0,19,1,0,11,5,5,6,1,0,527,18,1,1,1,1,3,11,0,3,10,395,13,4,7,6,13,18,2,2,8,34,409,1,21,7,7,20,7,0,5,4,1,416,1,17,8,4,32,4,8,4,21,0,378,20,1,18,1,1,1,11,0,7,7,440,2,5,2,1,1,10,8,3,0,0,474,3,23,1,13,18,39,6,26,1,9,350,25,3,3,2,8,24,10,0,34,8,433
7,Control_v1_7,28.734375,(),inf,199,0.953878407,0.898502496,0.817409766,0.8492569,0.87063655,0.822510823,0.892215569,0.88657845,0.796338673,0.780141844,0.919191919,0.959147425,0.817409766,0.775193798,0.868852459,0.835164835,0.93907563,0.896749522,0.713114754,0.838095238,455,0,18,1,1,6,6,3,5,0,0,540,9,2,1,1,1,1,8,0,4,15,385,12,4,6,7,17,19,2,2,8,27,400,2,26,5,8,18,20,0,4,3,0,424,1,17,5,5,29,7,7,5,15,1,380,16,0,17,7,2,1,6,0,7,6,447,1,6,0,1,1,7,6,4,0,0,469,4,31,2,22,9,27,7,30,2,6,348,35,4,3,2,8,36,6,0,19,7,440
8,Control_v1_8,27.46875,(),inf,192,0.960251046,0.913117547,0.826180258,0.881118881,0.812154696,0.858851675,0.900826446,0.818791946,0.718637993,0.859410431,0.927272727,0.952042629,0.817409766,0.73255814,0.903688525,0.789010989,0.915966387,0.933078394,0.821721311,0.721904762,459,0,11,1,2,3,5,4,10,0,0,536,9,1,1,2,1,1,12,0,3,12,385,6,6,4,7,19,28,1,2,8,36,378,2,22,5,13,36,14,0,5,2,0,441,0,13,3,8,16,6,8,3,16,6,359,15,2,34,6,4,1,7,0,8,6,436,1,12,1,1,1,4,2,7,0,0,488,7,13,1,12,6,19,9,17,2,10,401,11,2,4,3,6,61,5,0,55,10,379
9,Control_v1_9,27.875,(),inf,196,0.950617284,0.905172414,0.77254902,0.781716418,0.828571429,0.8925,0.894093686,0.840277778,0.770065076,0.864367816,0.933333333,0.93250444,0.836518047,0.812015504,0.891393443,0.784615385,0.922268908,0.92543021,0.727459016,0.716190476,462,0,16,1,1,3,5,3,4,0,0,525,21,1,2,1,1,3,9,0,5,10,394,12,5,3,7,13,20,2,2,8,36,419,2,13,5,9,15,7,1,5,3,1,435,0,14,3,9,17,7,8,4,34,2,357,17,1,22,3,3,1,11,0,8,4,439,1,8,1,1,1,6,6,6,0,0,484,6,13,1,16,17,49,7,15,3,9,355,16,4,6,2,13,57,4,0,50,13,376
