,Name,train time [s],layers,loss val,iters,Class_0_precs,Class_1_precs,Class_2_precs,Class_3_precs,Class_4_precs,Class_5_precs,Class_6_precs,Class_7_precs,Class_8_precs,Class_9_precs,Class_0_recall,Class_1_recall,Class_2_recall,Class_3_recall,Class_4_recall,Class_5_recall,Class_6_recall,Class_7_recall,Class_8_recall,Class_9_recall,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,round_to_0_v1_0,46.1875,(),inf,200,0.956066946,0.87745098,0.790224033,0.791127542,0.850980392,0.844907407,0.904958678,0.84929078,0.811004785,0.844680851,0.923232323,0.953818828,0.823779193,0.829457364,0.889344262,0.802197802,0.920168067,0.915869981,0.694672131,0.756190476,457,0,18,3,1,5,5,3,3,0,0,537,17,1,2,1,1,1,3,0,2,13,388,15,5,4,6,16,20,2,2,10,27,428,2,14,5,8,11,9,0,6,3,1,434,0,16,4,6,18,7,9,3,32,2,365,12,1,19,5,4,1,10,0,8,7,438,1,7,0,1,1,8,8,4,0,0,479,3,19,1,28,14,39,7,30,1,9,339,20,4,7,3,14,45,6,0,42,7,397
1,round_to_0_v1_1,44,(),inf,199,0.960167715,0.904273504,0.779960707,0.839835729,0.88308977,0.854166667,0.868978805,0.904854369,0.797777778,0.804387569,0.925252525,0.939609236,0.842887473,0.792635659,0.866803279,0.810989011,0.947478992,0.891013384,0.735655738,0.838095238,458,0,18,1,1,2,8,3,4,0,0,529,18,2,2,1,1,2,8,0,2,11,397,8,4,5,7,13,22,2,2,8,31,409,2,20,7,6,18,13,0,5,7,0,423,1,21,2,5,24,7,8,6,21,0,369,22,0,17,5,2,1,6,0,6,4,451,1,5,0,1,1,10,6,5,0,0,466,3,31,1,18,13,31,5,22,2,5,359,32,4,4,3,9,31,8,0,17,9,440
2,round_to_0_v1_2,50.84375,(),inf,224,0.93373494,0.914383562,0.814968815,0.824561404,0.835907336,0.853146853,0.889112903,0.888888889,0.785263158,0.856842105,0.939393939,0.948490231,0.832271762,0.819767442,0.887295082,0.804395604,0.926470588,0.90248566,0.764344262,0.775238095,465,0,13,1,1,2,6,2,5,0,0,534,11,1,2,2,1,1,11,0,4,14,392,13,5,4,7,11,19,2,3,8,27,423,2,17,5,4,21,6,1,4,4,0,433,0,16,3,8,19,10,8,4,24,1,366,18,1,20,3,6,1,9,0,7,5,441,1,6,0,1,1,7,8,7,0,0,472,4,23,3,11,11,35,9,24,1,6,373,15,5,3,3,8,51,9,1,30,8,407
3,round_to_0_v1_3,41.296875,(),inf,178,0.941295547,0.909556314,0.810483871,0.82306163,0.866666667,0.82112069,0.88247012,0.940552017,0.82396088,0.763793103,0.939393939,0.946714032,0.853503185,0.802325581,0.879098361,0.837362637,0.930672269,0.847036329,0.69057377,0.843809524,465,0,15,1,2,5,5,1,1,0,0,533,15,1,1,2,1,1,9,0,4,10,402,11,5,5,7,7,18,2,2,8,29,414,2,23,5,4,10,19,2,4,4,0,429,0,17,0,5,27,6,8,3,18,0,381,21,0,12,6,6,1,6,0,7,7,443,1,5,0,2,1,9,10,5,0,0,443,4,49,3,17,11,41,7,32,3,3,337,34,4,4,2,7,37,9,0,11,8,443
4,round_to_0_v1_4,46.40625,(),inf,202,0.943089431,0.930909091,0.729537367,0.830508475,0.898876404,0.851015801,0.889795918,0.930526316,0.767010309,0.781569966,0.937373737,0.909413854,0.870488323,0.759689922,0.819672131,0.828571429,0.915966387,0.845124283,0.762295082,0.872380952,464,0,14,2,1,2,5,2,5,0,0,512,33,0,2,1,1,1,13,0,4,7,410,8,4,5,5,7,19,2,5,6,46,392,2,17,7,4,23,14,0,5,10,0,400,1,18,5,10,39,5,7,5,18,2,377,17,1,18,5,6,1,12,0,6,6,436,1,7,1,2,1,13,11,3,0,0,442,6,45,2,8,17,34,4,25,1,3,372,22,4,3,2,7,21,9,0,9,12,458
5,round_to_0_v1_5,43.671875,(),inf,192,0.94813278,0.905405405,0.805383023,0.838509317,0.904761905,0.875311721,0.890909091,0.908366534,0.723880597,0.791452991,0.923232323,0.952042629,0.825902335,0.784883721,0.817622951,0.771428571,0.926470588,0.871892925,0.795081967,0.881904762,457,0,17,1,1,5,6,3,5,0,0,536,10,2,1,2,1,1,10,0,4,12,389,15,4,3,7,12,23,2,2,9,29,405,2,14,5,6,30,14,1,7,5,0,399,1,16,4,11,44,6,7,6,17,2,351,16,1,43,6,4,1,8,0,6,5,441,1,10,0,2,1,8,10,3,0,0,456,4,39,2,15,8,30,5,15,3,5,388,17,4,4,3,3,18,5,0,13,12,463
6,round_to_0_v1_6,42.265625,(),inf,185,0.936734694,0.875806452,0.856818182,0.869281046,0.903669725,0.796257796,0.880478088,0.9,0.780434783,0.771959459,0.927272727,0.964476021,0.800424628,0.773255814,0.807377049,0.841758242,0.928571429,0.894837476,0.735655738,0.87047619,459,0,9,1,0,11,6,4,5,0,0,543,7,1,1,2,1,1,7,0,5,16,377,10,5,9,8,14,25,2,2,9,24,399,2,35,6,8,20,11,1,6,4,0,394,1,19,5,4,54,8,7,2,16,1,383,16,0,17,5,5,1,5,0,6,7,442,1,8,1,2,1,5,3,4,1,0,468,6,33,2,31,6,22,6,24,4,5,359,29,6,6,1,7,17,8,0,14,9,457
7,round_to_0_v1_7,44.015625,(),inf,190,0.932270916,0.923478261,0.862302483,0.711755233,0.88308977,0.825892857,0.87890625,0.912,0.797101449,0.837944664,0.945454545,0.943161634,0.81104034,0.856589147,0.866803279,0.813186813,0.945378151,0.871892925,0.676229508,0.807619048,468,0,9,2,1,3,5,2,5,0,0,531,10,6,2,2,1,1,10,0,6,12,382,21,3,5,10,9,21,2,3,4,20,442,1,18,5,3,14,6,3,4,4,2,423,1,17,4,7,23,8,7,2,34,1,370,20,0,10,3,5,1,5,0,6,3,450,1,5,0,2,1,4,21,4,0,0,456,4,31,3,11,5,75,6,32,4,5,330,17,4,4,2,18,32,14,0,19,8,424
8,round_to_0_v1_8,42.234375,(),inf,187,0.957716702,0.913412564,0.863425926,0.80418251,0.847195358,0.813449024,0.88667992,0.933884298,0.726577438,0.853658537,0.915151515,0.955595027,0.791932059,0.819767442,0.897540984,0.824175824,0.93697479,0.864244742,0.778688525,0.8,453,0,12,1,1,7,7,2,12,0,0,538,4,2,1,2,1,1,14,0,4,14,373,15,6,5,9,9,34,2,2,8,19,423,2,24,5,4,24,5,0,5,3,1,438,1,16,1,8,15,7,7,2,21,1,375,15,0,25,2,1,1,6,0,6,6,446,1,9,0,1,1,7,12,9,0,0,452,8,33,1,11,4,39,6,26,3,3,380,15,4,4,2,12,47,15,1,11,9,420
9,round_to_0_v1_9,42.3125,(),inf,186,0.948024948,0.905335628,0.80942623,0.883146067,0.88125,0.835585586,0.889558233,0.910891089,0.710575139,0.810760668,0.921212121,0.934280639,0.838641189,0.761627907,0.866803279,0.815384615,0.930672269,0.879541109,0.784836066,0.832380952,456,0,15,0,1,7,6,3,7,0,0,526,14,1,1,2,1,1,17,0,5,13,395,7,4,4,7,8,26,2,2,8,28,393,2,21,5,6,37,14,0,6,5,0,423,1,19,4,7,23,6,8,4,10,2,371,14,0,36,4,5,1,6,0,6,6,443,1,8,0,1,1,10,5,3,0,0,460,6,37,2,13,9,24,5,23,3,4,383,22,4,5,2,5,33,9,0,18,12,437
