,Name,train time [s],layers,loss val,iters,Class_0_precs,Class_1_precs,Class_2_precs,Class_3_precs,Class_4_precs,Class_5_precs,Class_6_precs,Class_7_precs,Class_8_precs,Class_9_precs,Class_0_recall,Class_1_recall,Class_2_recall,Class_3_recall,Class_4_recall,Class_5_recall,Class_6_recall,Class_7_recall,Class_8_recall,Class_9_recall,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,Control_v1_0,276.640625,"(100, 100)",0.2698864357415692,330,0.8604206500956023,0.9106830122591943,0.8094262295081968,0.7835820895522388,0.8435517970401691,0.8080808080808081,0.8980477223427332,0.9550102249488752,0.70018281535649,0.8313953488372093,0.9090909090909091,0.9236234458259325,0.8386411889596603,0.813953488372093,0.8176229508196722,0.7032967032967034,0.8697478991596639,0.892925430210325,0.7848360655737705,0.8171428571428572,450,0,8,9,1,11,12,1,1,2,1,520,9,4,0,0,0,0,28,1,8,9,395,14,8,3,9,5,18,2,6,8,31,420,2,12,1,3,28,5,4,2,4,0,399,8,17,1,8,45,30,0,3,37,4,320,3,1,54,3,14,0,21,0,2,6,414,0,18,1,1,12,5,6,6,1,0,467,4,21,5,17,9,30,3,28,5,1,383,7,4,3,3,16,48,7,0,10,5,429
1,Control_v1_1,173.453125,"(100, 100)",0.16954344404223037,209,0.9433198380566802,0.9632224168126094,0.8266129032258065,0.8193548387096774,0.8755458515283843,0.6891304347826087,0.8877952755905512,0.874113475177305,0.7587548638132295,0.8787234042553191,0.9414141414141414,0.9769094138543517,0.8704883227176221,0.7383720930232558,0.8217213114754098,0.6967032967032967,0.9474789915966386,0.9426386233269598,0.7991803278688525,0.7866666666666666,466,0,6,0,3,1,9,3,7,0,0,550,2,1,1,0,2,3,4,0,1,3,410,7,3,6,12,8,19,2,4,3,32,381,1,70,2,12,8,3,5,4,9,2,401,3,15,5,3,41,6,1,2,46,2,317,10,5,64,2,4,1,6,0,1,2,451,0,11,0,1,3,11,5,2,0,0,493,1,7,3,5,16,12,3,46,6,5,390,2,4,1,2,11,41,15,1,30,7,413
2,Control_v1_2,84.453125,"(100, 100)",0.07454451860542687,102,0.9644351464435147,0.9767441860465116,0.7841328413284133,0.893223819301848,0.9098901098901099,0.927710843373494,0.9184100418410042,0.9261363636363636,0.8475247524752475,0.8282097649186256,0.9313131313131313,0.9698046181172292,0.9023354564755839,0.8430232558139535,0.8483606557377049,0.8461538461538461,0.9222689075630253,0.9349904397705545,0.8770491803278688,0.8723809523809524,461,0,27,1,0,0,3,0,2,1,1,546,5,1,1,2,0,1,5,1,0,1,425,7,4,2,6,12,13,1,3,1,19,435,2,12,5,4,18,17,1,2,13,2,414,1,5,4,4,42,6,1,6,14,2,385,18,3,14,6,2,4,16,1,2,5,439,0,7,0,0,1,8,6,5,0,0,489,1,13,1,1,19,13,6,3,2,1,428,14,3,2,4,7,19,5,0,14,13,458
3,Control_v1_3,18.640625,"(100, 100)",2.300922403386362,21,0.0,0.11264505802320929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,1,0,0,476,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,1,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
4,Control_v1_4,230.640625,"(100, 100)",0.27980152439027767,276,0.8930693069306931,0.9033898305084745,0.687170474516696,0.8577777777777778,0.8235294117647058,0.8220720720720721,0.9203354297693921,0.8538622129436325,0.7727272727272727,0.7760314341846758,0.9111111111111111,0.9467140319715808,0.8301486199575372,0.748062015503876,0.8319672131147541,0.8021978021978022,0.9222689075630253,0.7820267686424475,0.7663934426229508,0.7523809523809524,451,0,11,0,0,6,6,12,8,1,0,533,4,8,0,10,0,2,5,1,9,2,391,12,5,0,12,7,28,5,4,17,55,386,0,28,2,4,13,7,1,4,7,1,406,1,7,8,11,42,15,8,4,22,2,365,6,5,23,5,2,1,11,0,0,6,439,1,15,1,13,7,35,2,6,1,1,409,1,48,7,11,47,14,9,16,4,2,374,4,3,7,4,5,65,11,0,29,6,395
5,Control_v1_5,125.78125,"(100, 100)",0.1089658420586876,153,0.9504132231404959,0.9528795811518325,0.8739316239316239,0.8836734693877552,0.8903225806451613,0.8850574712643678,0.9336099585062241,0.8561525129982669,0.7980952380952381,0.8522954091816367,0.9292929292929293,0.9698046181172292,0.8683651804670913,0.8391472868217055,0.8483606557377049,0.8461538461538461,0.9453781512605042,0.9445506692160612,0.8586065573770492,0.8133333333333334,460,0,9,0,1,2,3,1,13,6,1,546,5,1,1,2,1,4,2,0,1,4,409,8,8,4,6,9,20,2,2,7,27,433,0,13,2,13,13,6,0,3,6,1,414,2,9,6,4,43,10,2,1,12,4,385,9,6,26,0,4,1,2,0,3,4,450,0,12,0,0,2,5,3,3,0,0,494,3,13,3,4,4,22,2,15,2,13,419,4,3,4,0,10,29,8,0,31,13,427
6,Control_v1_6,127.65625,"(100, 100)",0.3925658653197207,154,0.8917322834645669,0.954225352112676,0.4430379746835443,0.811284046692607,0.7769516728624535,0.7199074074074074,0.5220048899755502,0.9233954451345756,0.7367424242424242,0.7781954887218046,0.9151515151515152,0.9626998223801065,0.07430997876857749,0.8081395348837209,0.8565573770491803,0.6835164835164835,0.8970588235294118,0.8527724665391969,0.7971311475409836,0.7885714285714286,453,0,7,2,1,7,16,4,1,4,0,542,6,3,1,0,2,3,6,0,21,8,35,34,9,3,320,4,36,1,4,2,7,417,2,43,16,6,13,6,0,2,3,0,418,1,12,0,5,47,14,1,7,42,1,311,13,3,53,10,5,1,8,0,18,1,427,0,16,0,6,2,4,6,10,3,2,446,2,42,4,8,2,7,9,51,8,2,389,8,1,2,0,3,69,12,2,15,7,414
7,Control_v1_7,194.421875,"(100, 100)",0.42297909016646884,234,0.944558521560575,0.9536541889483066,0.5765407554671969,0.7881188118811882,0.7700934579439253,0.6830065359477124,0.7727272727272727,0.8956356736242884,0.6401446654611211,0.8181818181818182,0.9292929292929293,0.9502664298401421,0.6157112526539278,0.7713178294573644,0.8442622950819673,0.4593406593406593,0.8571428571428571,0.9024856596558317,0.7254098360655737,0.7714285714285715,460,0,9,0,11,1,13,0,1,0,0,535,7,2,0,6,0,3,10,0,2,5,290,3,18,4,87,3,59,0,1,6,19,398,4,49,3,4,21,11,1,1,18,4,412,0,14,1,0,37,11,4,43,83,3,209,2,3,93,4,5,1,31,0,24,1,408,0,5,1,1,1,4,0,2,1,0,472,8,34,5,6,73,3,4,28,1,11,354,3,1,2,9,12,57,7,0,30,2,405
8,Control_v1_8,82.484375,"(100, 100)",0.16510105779009843,100,0.9429175475687104,0.9661921708185054,0.816,0.8542914171656687,0.8975409836065574,0.8479809976247031,0.8983739837398373,0.9298245614035088,0.797979797979798,0.8072072072072072,0.901010101010101,0.9644760213143873,0.8662420382165605,0.8294573643410853,0.8975409836065574,0.7846153846153846,0.9285714285714286,0.9120458891013384,0.8094262295081968,0.8533333333333334,446,0,11,1,4,4,6,5,3,15,1,543,7,1,1,4,1,0,4,1,4,2,408,11,9,2,11,6,15,3,1,6,30,428,1,16,4,5,17,8,2,2,5,2,438,0,6,3,2,28,11,2,5,18,2,357,16,0,30,14,3,1,7,1,7,6,442,0,6,3,1,0,15,6,2,0,1,477,3,18,3,2,9,30,2,26,4,0,395,17,1,4,3,3,22,6,1,17,20,448
9,Control_v1_9,16.3125,"(100, 100)",1.4976819376962813,20,0.0,0.98,0.3333333333333333,0.146257527960998,0.8771186440677966,0.1111111111111111,0.931350114416476,0.25,0.18181818181818182,0.6666666666666666,0.0,0.9573712255772646,0.0021231422505307855,0.9883720930232558,0.8483606557377049,0.004395604395604396,0.8550420168067226,0.0019120458891013384,0.00819672131147541,0.007619047619047619,0,0,0,490,2,0,3,0,0,0,0,539,0,17,1,0,0,0,6,0,0,3,1,438,5,7,14,0,3,0,0,0,1,510,1,1,1,0,2,0,0,1,0,62,414,2,5,1,2,1,1,2,0,442,0,2,7,0,1,0,0,1,0,53,7,6,407,1,0,1,0,2,0,507,12,0,0,1,1,0,0,1,0,482,1,0,0,0,4,0,0,1,1,486,29,0,0,1,3,4
