,Name,train time [s],layers,loss val,iters,Class_0_precs,Class_1_precs,Class_2_precs,Class_3_precs,Class_4_precs,Class_5_precs,Class_6_precs,Class_7_precs,Class_8_precs,Class_9_precs,Class_0_recall,Class_1_recall,Class_2_recall,Class_3_recall,Class_4_recall,Class_5_recall,Class_6_recall,Class_7_recall,Class_8_recall,Class_9_recall,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,round_to_0_v1_0,16.375,"(20, 20)",2.2754890912866825,41,0.0,0.4927536231884058,0.0,0.0,0.0,0.0,0.0,0.10499593826157595,0.0,0.0,0.0,0.06039076376554174,0.0,0.0,0.0,0.0,0.0,0.988527724665392,0.0,0.0,0,0,0,0,0,0,0,495,0,0,0,34,0,6,0,0,0,523,0,0,0,9,0,0,0,0,0,462,0,0,0,21,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,5,0,1,0,0,0,517,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0
1,round_to_0_v1_1,18.53125,"(20, 20)",4.249734984623649,48,0.3493253373313343,0.2358490566037736,0.12698412698412698,0.10434782608695652,0.40625,1.0,0.0,0.26956521739130435,0.06976744186046512,0.12115967113803548,0.9414141414141414,0.04440497335701599,0.016985138004246284,0.18604651162790697,0.02663934426229508,0.07252747252747253,0.0,0.05927342256214149,0.012295081967213115,0.5333333333333333,466,0,2,6,0,0,0,0,0,21,1,25,0,235,0,0,0,0,27,275,108,13,8,104,0,0,0,1,10,227,30,10,6,96,0,0,0,7,11,356,159,1,5,79,13,0,0,28,7,196,90,11,18,61,0,33,0,4,5,233,335,6,12,37,1,0,0,0,1,84,76,10,6,102,5,0,0,31,10,283,15,6,1,104,0,0,0,0,6,356,54,24,5,96,13,0,0,44,9,280
2,round_to_0_v1_2,15.546875,"(20, 20)",2.536418324516843,37,0.0,0.20013431833445267,0.12962962962962962,0.11538461538461539,0.0,0.09427609427609428,0.10019646365422397,0.0,0.0,0.0,0.0,0.5293072824156305,0.029723991507430998,0.011627906976744186,0.0,0.06153846153846154,0.6428571428571429,0.0,0.0,0.0,0,70,9,5,0,20,391,0,0,0,0,298,6,6,0,45,208,0,0,0,0,246,14,2,0,24,185,0,0,0,0,179,13,6,0,32,286,0,0,0,0,97,6,7,0,25,353,0,0,0,0,110,11,5,0,28,301,0,0,0,0,125,10,7,0,28,306,0,0,0,0,60,12,7,0,31,413,0,0,0,0,198,16,5,0,41,228,0,0,0,0,106,11,2,0,23,383,0,0,0
3,round_to_0_v1_3,16.15625,"(20, 20)",2.2805488354962717,42,0.0,0.11534521614423274,0.0,0.7413793103448276,0.6153846153846154,0.3076923076923077,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.04918032786885246,0.008791208791208791,0.0021008403361344537,0.0,0.0,0.0,0,491,0,0,3,0,1,0,0,0,0,563,0,0,0,0,0,0,0,0,1,469,0,0,1,0,0,0,0,0,0,464,0,43,0,9,0,0,0,0,2,460,0,0,24,0,2,0,0,0,0,433,0,15,1,4,2,0,0,0,0,467,0,0,8,0,1,0,0,0,0,521,0,0,2,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
4,round_to_0_v1_4,13.78125,"(20, 20)",2.3005468560704663,35,0.0,0.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
5,round_to_0_v1_5,18.484375,"(20, 20)",2.2994901070882614,48,0.0,0.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
6,round_to_0_v1_6,13.46875,"(20, 20)",2.30013242447516,35,0.0,0.11262252450490098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,1,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
7,round_to_0_v1_7,6.15625,"(20, 20)",2.361551526708711,16,0.0,0.0,0.0,0.0,0.0,1.0,0.09531437725270324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,1.0,0.0,0.0,0.0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,1,0,0,0,0,5,449,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0
8,round_to_0_v1_8,9.375,"(20, 20)",2.2055127713994604,24,0.12162162162162163,0.1408874404612685,0.11475409836065574,0.14772727272727273,0.3333333333333333,0.5,0.4166666666666667,0.04504504504504504,0.0,0.024390243902439025,0.03636363636363636,0.9982238010657194,0.014861995753715499,0.1511627906976744,0.00819672131147541,0.01098901098901099,0.08403361344537816,0.009560229445506692,0.0,0.0019047619047619048,18,367,7,63,0,5,7,20,0,8,1,562,0,0,0,0,0,0,0,0,14,401,7,26,0,0,4,12,0,7,22,372,9,78,0,0,18,10,0,7,11,369,9,60,4,0,11,18,2,4,18,360,7,42,0,5,10,8,0,5,44,138,16,208,0,0,40,23,1,6,7,472,1,30,3,0,2,5,1,2,7,458,0,9,5,0,1,7,0,1,6,490,5,12,0,0,3,8,0,1
9,round_to_0_v1_9,9.25,"(20, 20)",2.32436278966116,24,0.0,0.0,0.09378781766841468,0.0,0.0,0.2727272727272727,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0,0.9872611464968153,0.0,0.0,0.006593406593406593,0.03361344537815126,0.0038240917782026767,0.0,0.0,0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,465,0,0,3,3,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,486,0,0,0,2,0,0,0,0,0,445,0,0,3,7,0,0,0,0,0,456,0,0,3,16,1,0,0,0,0,520,0,0,1,0,2,0,0,0,0,487,0,0,1,0,0,0,0,0,0,525,0,0,0,0,0,0,0
10,round_to_0_v1_10,12.5,"(20, 20)",2.3009873738906617,31,0.0,0.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
11,round_to_0_v1_11,17.640625,"(20, 20)",2.290054441490622,45,0.9230769230769231,0.11312399355877617,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048484848484848485,0.9982238010657194,0.0021231422505307855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,470,1,0,0,0,0,0,0,0,0,562,1,0,0,0,0,0,0,0,2,468,1,0,0,0,0,0,0,0,0,515,0,0,0,1,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,454,0,1,0,0,0,0,0,0,0,475,1,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
12,round_to_0_v1_12,11.0,"(20, 20)",2.248788409169738,27,0.8888888888888888,0.11592409240924093,0.7777777777777778,0.0,0.6707317073170732,1.0,0.37037037037037035,0.3333333333333333,0.0,0.42857142857142855,0.01616161616161616,0.9982238010657194,0.029723991507430998,0.0,0.11270491803278689,0.013186813186813187,0.02100840336134454,0.0019120458891013384,0.0,0.005714285714285714,8,480,0,0,2,0,2,2,0,1,0,562,1,0,0,0,0,0,0,0,0,457,14,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,420,0,0,55,0,12,0,0,1,0,448,1,0,0,6,0,0,0,0,0,449,2,0,13,0,10,0,0,2,1,521,0,0,0,0,0,1,0,0,0,488,0,0,0,0,0,0,0,0,0,507,0,0,12,0,3,0,0,3
13,round_to_0_v1_13,19.328125,"(20, 20)",2.2980512273856752,49,0.0,0.11309762957010848,0.0,0.5,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.007751937984496124,0.0,0.013186813186813187,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,509,0,4,0,3,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,445,0,3,0,6,0,1,0,0,0,476,0,0,0,0,0,0,0,0,0,522,0,0,0,1,0,0,0,0,0,487,0,0,0,1,0,0,0,0,0,522,0,1,0,2,0,0,0,0
14,round_to_0_v1_14,19.765625,"(20, 20)",2.2955257739435955,51,0.0,0.11341659951651893,0.0,0.0,0.4090909090909091,0.3333333333333333,0.0,0.18181818181818182,0.0,0.0,0.0,1.0,0.0,0.0,0.018442622950819672,0.002197802197802198,0.0,0.0038240917782026767,0.0,0.0,0,493,0,0,1,1,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,470,0,0,1,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,472,0,0,9,1,0,6,0,0,0,443,0,0,9,1,0,2,0,0,0,476,0,0,0,0,0,0,0,0,0,519,0,0,2,0,0,2,0,0,0,487,0,0,0,0,0,1,0,0,0,525,0,0,0,0,0,0,0,0
15,round_to_0_v1_15,18.3125,"(20, 20)",2.2856260029400115,47,0.0,0.35390946502057613,0.0,0.0,0.0,0.0,0.09966358284272497,0.0,0.0,0.0,0.0,0.152753108348135,0.0,0.0,0.0,0.0,0.9957983193277311,0.0,0.0,0.0,0,0,0,0,0,0,495,0,0,0,0,86,0,0,0,0,477,0,0,0,0,10,0,0,0,0,461,0,0,0,0,17,0,0,0,0,499,0,0,0,0,15,0,0,0,0,473,0,0,0,0,45,0,0,0,0,410,0,0,0,0,1,0,0,0,0,474,1,0,0,0,35,0,0,0,0,488,0,0,0,0,17,0,0,0,0,471,0,0,0,0,17,0,0,0,0,508,0,0,0
16,round_to_0_v1_16,9.671875,"(20, 20)",2.1755971364797553,25,0.84,0.2980308674827036,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.15768854064642507,0.08484848484848485,0.9946714031971581,0.0,0.0,0.0,0.0,0.0021008403361344537,0.0,0.0,0.92,42,4,0,0,0,0,6,0,0,443,0,560,0,0,0,0,0,0,0,3,3,234,0,0,0,0,1,0,0,233,0,375,0,0,0,0,0,0,0,141,1,24,0,0,0,0,0,0,0,463,0,143,0,0,0,0,0,0,0,312,4,210,0,0,0,0,1,0,0,261,0,48,0,0,0,0,0,0,0,475,0,239,0,0,0,0,0,0,0,249,0,42,0,0,0,0,0,0,0,483
17,round_to_0_v1_17,5.421875,"(20, 20)",2.340749002218015,14,0.6923076923076923,0.0,0.0,0.10376030565051277,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,474,1,0,0,9,0,2,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,2,486,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,4,0,0,519,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0
18,round_to_0_v1_18,17.984375,"(20, 20)",2.230772949796228,46,0.13432835820895522,0.20634920634920634,0.0,0.13408554185253213,0.0,0.0,0.08928571428571429,0.0,0.0,0.19893617021276597,0.01818181818181818,0.046181172291296625,0.0,0.9903100775193798,0.0,0.0,0.01050420168067227,0.0,0.0,0.35619047619047617,9,17,0,366,0,0,11,0,0,92,8,26,0,425,0,0,8,0,0,96,3,10,0,423,0,0,7,0,0,28,1,1,0,511,0,0,0,0,0,3,13,18,0,259,0,0,6,0,0,192,2,7,0,386,0,0,2,0,0,58,3,9,0,440,0,0,5,0,0,19,7,15,0,249,0,0,7,0,0,245,5,3,0,457,0,0,3,0,0,20,16,20,0,295,0,0,7,0,0,187
19,round_to_0_v1_19,11.921875,"(20, 20)",2.3005607607761904,31,0.0,0.11262252450490098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,1,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
20,round_to_0_v1_20,16.5,"(20, 20)",2.3004662470477144,42,0.0,0.11262252450490098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,494,0,1,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
21,round_to_0_v1_21,26.015625,"(20, 20)",2.3004645481146606,65,0.0,0.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
22,round_to_0_v1_22,12.984375,"(20, 20)",2.301317073942363,34,0.0,0.11262252450490098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,487,0,1,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
23,round_to_0_v1_23,28.984375,"(20, 20)",1.9270015367393514,75,0.7068181818181818,0.2891566265060241,0.03125,0.2656960873521383,0.16435791838262823,0.18681318681318682,0.2,0.15463917525773196,0.07407407407407407,0.0,0.6282828282828283,0.12788632326820604,0.0021231422505307855,0.5658914728682171,0.8995901639344263,0.07472527472527472,0.0021008403361344537,0.08604206500956023,0.004098360655737705,0.0,311,6,1,92,43,14,0,28,0,0,3,72,7,288,106,50,0,29,8,0,9,30,1,38,361,8,0,22,2,0,5,18,5,292,150,30,0,16,0,0,0,14,2,16,439,5,0,11,1,0,67,12,5,181,107,34,1,42,5,1,39,10,0,22,335,3,1,62,1,3,2,41,7,43,367,14,3,45,1,0,3,31,1,109,296,20,0,26,2,0,1,15,3,18,467,4,0,10,7,0
24,round_to_0_v1_24,18.90625,"(20, 20)",2.3002869659833216,48,0.0,0.11262252450490098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,1,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
25,round_to_0_v1_25,13.109375,"(20, 20)",2.3005826222753587,33,0.0,0.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
26,round_to_0_v1_26,18.65625,"(20, 20)",2.18030902484055,47,0.0,0.38308457711442784,0.0,0.045454545454545456,0.0,0.0,0.11631901840490798,0.14410480349344978,0.0,0.0,0.0,0.4103019538188277,0.0,0.005813953488372093,0.0,0.0,0.9957983193277311,0.06309751434034416,0.0,0.0,0,3,0,2,0,0,486,4,0,0,3,231,0,24,0,0,196,102,7,0,0,1,0,0,0,0,470,0,0,0,0,4,0,3,0,0,507,2,0,0,2,39,0,4,0,0,423,20,0,0,1,54,0,8,0,0,371,18,3,0,0,0,0,1,0,0,474,1,0,0,4,118,0,11,0,0,356,33,1,0,2,35,0,8,0,0,425,18,0,0,0,118,0,5,0,0,367,31,4,0
27,round_to_0_v1_27,16.984375,"(20, 20)",2.1728655954660856,42,0.0,0.12374821173104435,0.0,0.0,0.0,0.0,0.09848484848484848,0.2607003891050584,0.0,0.4254807692307692,0.0,0.9218472468916519,0.0,0.0,0.0,0.0,0.0273109243697479,0.12810707456978968,0.0,0.33714285714285713,0,495,0,0,0,0,0,0,0,0,0,519,0,0,0,0,18,19,0,7,0,467,0,0,0,0,3,0,0,1,0,510,0,0,0,0,1,3,0,2,0,336,0,0,0,0,25,52,0,75,0,406,0,0,0,0,14,17,0,18,0,409,0,0,0,0,13,24,1,29,0,325,0,0,0,0,29,67,0,102,0,476,0,0,0,0,5,2,0,5,0,251,0,0,0,0,24,73,0,177
