,Name,train time [s],layers,loss val,iters,Class_0_precs,Class_1_precs,Class_2_precs,Class_3_precs,Class_4_precs,Class_5_precs,Class_6_precs,Class_7_precs,Class_8_precs,Class_9_precs,Class_0_recall,Class_1_recall,Class_2_recall,Class_3_recall,Class_4_recall,Class_5_recall,Class_6_recall,Class_7_recall,Class_8_recall,Class_9_recall,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,Control_v1_0,53.859375,"(20, 20, 20, 20)",0.2328884722123832,193,0.8650190114068441,0.9166666666666666,0.7663934426229508,0.8277310924369747,0.8615023474178404,0.7517084282460137,0.8720472440944882,0.8742857142857143,0.7520325203252033,0.7411971830985915,0.9191919191919192,0.8987566607460036,0.7940552016985138,0.7635658914728682,0.7520491803278688,0.7252747252747253,0.930672268907563,0.8776290630975143,0.7581967213114754,0.8019047619047619,455,0,8,2,6,6,14,1,2,1,0,506,22,4,1,1,0,0,29,0,3,9,374,26,5,7,16,9,18,4,8,6,37,394,3,35,6,9,13,5,8,5,2,1,367,2,15,2,9,77,34,1,17,21,0,330,7,2,38,5,10,0,9,1,1,9,443,0,2,1,1,5,1,15,3,0,1,459,0,38,6,18,17,7,6,41,3,4,370,16,1,2,1,5,34,8,3,39,11,421
1,Control_v1_1,53.5,"(20, 20, 20, 20)",0.13267184045409064,193,0.9058577405857741,0.9421052631578948,0.7825242718446602,0.816793893129771,0.7900552486187845,0.8449612403100775,0.8811475409836066,0.9332023575638507,0.8164948453608247,0.8363273453093812,0.8747474747474747,0.9538188277087034,0.8556263269639066,0.8294573643410853,0.8790983606557377,0.7186813186813187,0.9033613445378151,0.9082217973231358,0.8114754098360656,0.7980952380952381,433,0,17,4,9,4,16,1,11,0,0,537,6,2,2,3,2,1,9,1,1,4,403,8,7,7,10,5,24,2,0,3,35,428,2,19,1,6,17,5,0,4,2,0,429,1,11,2,3,36,26,8,2,52,4,327,15,3,16,2,5,1,15,0,17,6,430,0,2,0,1,1,20,2,3,0,0,475,0,21,9,10,14,20,6,11,3,4,396,15,3,2,1,8,64,9,0,12,7,419
2,Control_v1_2,60.15625,"(20, 20, 20, 20)",0.4011897361319182,218,0.8577494692144374,0.9537366548042705,0.7714932126696833,0.6920415224913494,0.796078431372549,0.6119096509240246,0.8937644341801386,0.8584558823529411,0.5962264150943396,0.8194130925507901,0.8161616161616162,0.9520426287744227,0.7239915074309978,0.7751937984496124,0.8319672131147541,0.654945054945055,0.8130252100840336,0.892925430210325,0.6475409836065574,0.6914285714285714,404,0,0,5,3,66,3,0,13,1,0,536,10,4,0,0,3,2,7,1,0,8,341,53,11,7,7,5,36,3,4,1,43,400,3,22,3,10,27,3,0,2,4,0,406,2,12,2,15,45,59,0,2,28,1,298,9,1,52,5,0,1,5,0,10,27,387,0,46,0,0,2,2,33,2,0,0,467,0,17,1,10,34,50,4,56,9,3,316,5,3,2,1,5,70,9,0,54,18,363
3,Control_v1_3,58.796875,"(20, 20, 20, 20)",0.09794668080100055,211,0.8656716417910447,0.9528985507246377,0.7710843373493976,0.8602150537634409,0.8248031496062992,0.8275058275058275,0.905982905982906,0.8615107913669064,0.7601626016260162,0.7923387096774194,0.9373737373737374,0.9342806394316163,0.8152866242038217,0.7751937984496124,0.8586065573770492,0.7802197802197802,0.8907563025210085,0.9158699808795411,0.7663934426229508,0.7485714285714286,464,2,9,5,2,1,2,1,4,5,0,526,9,1,9,0,0,1,14,3,15,10,384,15,4,1,8,8,22,4,5,2,43,400,2,30,1,14,18,1,2,3,2,1,419,0,18,3,11,29,14,0,10,20,2,355,10,1,27,16,14,1,18,0,5,6,424,0,8,0,3,2,8,6,1,4,0,479,5,15,8,4,15,13,10,24,5,5,374,30,11,2,0,4,54,8,0,44,9,393
4,Control_v1_4,70.28125,"(20, 20, 20, 20)",0.2093108325584208,253,0.9247967479674797,0.9422382671480144,0.7894736842105263,0.7887323943661971,0.8092485549132948,0.7494505494505495,0.9129464285714286,0.9053497942386831,0.6981481481481482,0.7902912621359224,0.9191919191919192,0.9271758436944938,0.8280254777070064,0.7596899224806202,0.860655737704918,0.7494505494505495,0.8592436974789915,0.8413001912045889,0.7725409836065574,0.7752380952380953,455,0,9,4,3,12,6,0,2,4,0,522,10,1,1,3,0,5,21,0,5,8,390,27,7,6,6,1,18,3,8,3,36,392,3,23,0,6,40,5,0,1,6,0,420,1,8,4,4,44,13,7,7,11,6,341,14,4,44,8,9,1,20,2,18,12,409,0,5,0,0,4,2,24,4,2,0,440,17,30,0,8,11,27,3,41,5,2,377,14,2,0,3,9,54,14,0,24,12,407
5,Control_v1_5,34.015625,"(20, 20, 20, 20)",1.0911219842459616,121,0.0,0.3150406504065041,0.32987012987012987,0.32558139534883723,0.7563176895306859,0.26245847176079734,0.6905594405594405,0.9050505050505051,0.28654970760233917,0.7918367346938775,0.0,0.8259325044404974,0.26963906581740976,0.027131782945736434,0.8586065573770492,0.17362637362637362,0.8298319327731093,0.8565965583173997,0.4016393442622951,0.7390476190476191,0,400,16,1,1,27,5,0,44,1,0,465,8,3,0,47,0,0,40,0,0,51,127,3,10,37,105,4,131,3,0,364,8,14,4,41,8,10,62,5,0,0,13,1,419,0,17,0,6,32,0,122,47,6,6,79,16,0,177,2,0,0,44,0,12,2,395,0,23,0,0,9,0,10,4,1,0,448,1,50,0,57,118,2,17,62,25,2,196,9,0,8,4,3,81,5,1,31,4,388
6,Control_v1_6,80.34375,"(20, 20, 20, 20)",0.15060136799910964,282,0.896,0.9433628318584071,0.8219780219780219,0.8288888888888889,0.7842003853564548,0.6996336996336996,0.9080717488789237,0.8576576576576577,0.6994328922495274,0.871264367816092,0.9050505050505051,0.9467140319715808,0.7940552016985138,0.7228682170542635,0.8340163934426229,0.8395604395604396,0.8508403361344538,0.9101338432122371,0.7581967213114754,0.7219047619047619,448,0,11,2,1,14,5,0,8,6,1,533,3,0,4,7,1,2,12,0,14,6,374,9,8,5,5,12,34,4,2,5,21,373,2,50,1,12,46,4,0,2,9,0,407,18,17,2,7,26,13,5,5,17,1,382,7,2,21,2,15,0,12,0,24,10,405,1,9,0,0,3,6,9,2,4,0,476,12,11,3,8,11,29,3,46,5,10,370,3,4,3,3,11,67,10,0,38,10,379
7,Control_v1_7,34.9375,"(20, 20, 20, 20)",0.18946652508078743,121,0.9107142857142857,0.9421052631578948,0.8077709611451943,0.7391304347826086,0.8286290322580645,0.8224719101123595,0.8916666666666667,0.9533898305084746,0.7871900826446281,0.8326771653543307,0.9272727272727272,0.9538188277087034,0.8386411889596603,0.7906976744186046,0.8422131147540983,0.8043956043956044,0.8991596638655462,0.8604206500956023,0.7807377049180327,0.8057142857142857,459,0,13,4,1,5,9,0,2,2,0,537,10,2,2,3,0,1,7,1,10,4,395,16,5,1,11,4,24,1,9,6,31,408,2,27,2,6,23,2,0,3,2,0,411,0,18,6,9,39,10,2,5,26,4,366,8,1,22,11,6,3,12,0,15,8,428,0,4,0,0,0,14,31,4,0,1,450,3,20,4,9,6,45,3,29,2,0,381,9,6,6,1,20,49,6,1,4,9,423
8,Control_v1_8,64.859375,"(20, 20, 20, 20)",0.12242453185784882,234,0.924,0.9226713532513181,0.8516129032258064,0.8461538461538461,0.8194726166328601,0.7674943566591422,0.9,0.9094412331406551,0.7381818181818182,0.8553459119496856,0.9333333333333333,0.9325044404973357,0.8407643312101911,0.810077519379845,0.8278688524590164,0.7472527472527473,0.9264705882352942,0.9024856596558317,0.8319672131147541,0.7771428571428571,462,0,8,1,4,9,3,5,2,1,0,525,6,1,0,0,3,1,27,0,2,5,396,12,5,11,12,7,21,0,0,7,27,418,0,26,2,8,25,3,1,1,6,0,404,8,14,2,16,36,25,2,5,39,6,340,13,4,20,1,6,2,6,0,7,8,441,0,6,0,0,8,6,5,1,1,0,472,9,21,3,14,5,9,11,29,2,2,406,7,1,5,0,9,55,11,0,18,18,408
9,Control_v1_9,87.21875,"(20, 20, 20, 20)",0.2343579841939817,304,0.9396551724137931,0.9179487179487179,0.7568134171907757,0.8016701461377871,0.7687861271676301,0.7738927738927739,0.8365758754863813,0.8827977315689981,0.7484787018255578,0.8023483365949119,0.8808080808080808,0.9538188277087034,0.7664543524416136,0.7441860465116279,0.8176229508196722,0.7296703296703296,0.9033613445378151,0.892925430210325,0.7561475409836066,0.780952380952381,436,1,4,3,7,22,19,1,2,0,0,537,6,1,1,0,0,4,14,0,3,6,361,24,8,10,23,7,27,2,3,12,46,384,6,22,3,11,25,4,2,1,3,0,399,2,18,4,6,53,11,2,17,25,5,332,19,3,39,2,7,1,23,0,2,7,430,1,4,1,1,10,1,8,6,0,0,467,1,29,0,14,14,28,23,28,2,0,369,10,1,1,2,6,62,6,0,31,6,410
