,Name,train time [s],layers,loss val,iters,Class_0_precs,Class_1_precs,Class_2_precs,Class_3_precs,Class_4_precs,Class_5_precs,Class_6_precs,Class_7_precs,Class_8_precs,Class_9_precs,Class_0_recall,Class_1_recall,Class_2_recall,Class_3_recall,Class_4_recall,Class_5_recall,Class_6_recall,Class_7_recall,Class_8_recall,Class_9_recall,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,round_to_0_v1_0,18.75,"(20, 20, 20, 20)",2.300208161673283,35,0.0,0.11273528233880657,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006147540983606557,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,515,0,0,1,0,0,0,0,0,0,484,0,1,3,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,522,0,1,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
1,round_to_0_v1_1,89.578125,"(20, 20, 20, 20)",2.234100643583002,159,0.3333333333333333,0.23157283807312826,0.14169381107491857,0.0,0.0,0.09692898272552783,0.0,0.34177215189873417,0.13031161473087818,0.11558669001751314,0.00202020202020202,0.7087033747779752,0.36942675159235666,0.0,0.0,0.22197802197802197,0.0,0.05162523900573614,0.0942622950819672,0.12571428571428572,1,147,132,0,0,109,0,3,38,65,0,399,24,0,0,84,0,1,9,46,0,81,174,0,1,98,0,2,53,62,0,159,142,0,0,102,0,11,52,50,1,115,142,0,0,126,0,6,35,63,0,168,96,0,0,101,0,6,24,60,0,52,205,0,0,112,0,1,56,50,0,309,40,0,0,93,0,27,12,42,0,98,175,0,0,99,0,3,46,67,1,195,98,0,0,118,0,19,28,66
2,round_to_0_v1_2,18.28125,"(20, 20, 20, 20)",2.3005430255032158,34,0.0,0.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
3,round_to_0_v1_3,36.6875,"(20, 20, 20, 20)",1.9858518971060748,65,0.5699115044247788,0.26556343577620173,0.21428571428571427,0.31896551724137934,0.3218390804597701,0.2648809523809524,0.15302491103202848,0.22580645161290322,0.15746872700515085,0.1824561403508772,0.6505050505050505,0.5985790408525755,0.01910828025477707,0.2868217054263566,0.05737704918032787,0.1956043956043956,0.18067226890756302,0.01338432122370937,0.4385245901639344,0.09904761904761905,322,13,3,30,1,48,23,4,39,12,0,337,2,22,3,5,61,7,108,18,19,153,9,38,8,14,41,2,168,19,10,201,2,148,1,44,41,1,58,10,25,82,4,34,28,16,51,4,186,58,89,60,8,48,8,89,65,2,62,24,24,88,5,38,5,34,86,0,158,38,36,98,3,25,11,38,82,7,184,39,19,133,1,42,0,15,47,2,214,15,21,104,5,39,22,33,65,2,182,52
4,round_to_0_v1_4,36.625,"(20, 20, 20, 20)",2.2923235711805505,68,0.0,0.11335623358254193,0.0,0.0,0.0,0.0,0.0,0.5686274509803921,0.0,0.0,0.0,0.9964476021314387,0.0,0.0,0.0,0.0,0.0,0.055449330783938815,0.0,0.0,0,494,0,0,0,0,0,1,0,0,0,561,0,0,0,0,0,2,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,11,0,0,0,454,0,0,0,0,0,1,0,0,0,473,0,0,0,0,0,3,0,0,0,494,0,0,0,0,0,29,0,0,0,488,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,4,0,0
5,round_to_0_v1_5,20.53125,"(20, 20, 20, 20)",2.294341087015576,38,0.07692307692307693,0.11443089430894308,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.00404040404040404,1.0,0.0,0.0,0.0,0.0,0.04411764705882353,0.0,0.0,0.0,2,485,0,0,0,0,8,0,0,0,0,563,0,0,0,0,0,0,0,0,7,453,0,0,0,0,11,0,0,0,1,513,0,0,0,0,2,0,0,0,2,482,0,0,0,0,4,0,0,0,1,453,0,0,0,0,1,0,0,0,11,444,0,0,0,0,21,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,2,516,0,0,0,0,7,0,0,0
6,round_to_0_v1_6,17.5625,"(20, 20, 20, 20)",2.300277396816357,33,0.0,0.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
7,round_to_0_v1_7,16.15625,"(20, 20, 20, 20)",2.3004357314045087,31,0.0,0.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0
8,round_to_0_v1_8,45.90625,"(20, 20, 20, 20)",1.9078829471386358,82,0.5700575815738963,0.2988659106070714,0.46494464944649444,0.37650602409638556,0.28342245989304815,0.1724137931034483,0.21468926553672316,0.3780487804878049,0.23483535528596186,0.21739130434782608,0.6,0.7957371225577264,0.267515923566879,0.24224806201550386,0.10860655737704918,0.01098901098901099,0.07983193277310924,0.5334608030592735,0.555327868852459,0.0380952380952381,297,33,17,16,5,6,13,86,22,0,3,448,30,16,3,0,0,15,46,2,25,166,126,38,18,1,14,11,68,4,72,86,25,125,9,1,6,43,146,3,13,179,24,8,53,1,49,39,106,16,42,96,7,22,15,5,28,115,110,15,22,193,8,11,51,6,38,23,106,18,23,85,5,6,1,2,4,279,110,8,13,58,14,58,5,3,2,58,271,6,11,155,15,32,27,4,23,69,169,20
9,round_to_0_v1_9,7.03125,"(20, 20, 20, 20)",2.287830345494642,13,0.0,0.22992700729927007,0.16430976430976432,0.20437956204379562,0.22525597269624573,0.11917098445595854,0.0,0.5328467153284672,0.18100358422939067,0.18457943925233644,0.0,0.22380106571936056,0.5180467091295117,0.05426356589147287,0.13524590163934427,0.15164835164835164,0.0,0.4187380497131931,0.4139344262295082,0.15047619047619049,0,29,78,6,4,92,0,17,221,48,0,126,182,31,47,44,0,0,84,49,0,61,244,29,18,22,0,49,28,20,0,59,205,28,27,43,0,19,103,32,2,56,100,4,66,63,0,29,96,72,0,53,91,10,13,69,0,6,168,45,0,52,293,19,26,17,0,28,25,16,0,36,115,0,26,42,1,219,50,34,0,28,100,8,7,107,0,3,202,33,0,48,77,2,59,80,0,41,139,79
