,Name,train time [s],layers,loss val,iters,Class_0_precs,Class_1_precs,Class_2_precs,Class_3_precs,Class_4_precs,Class_5_precs,Class_6_precs,Class_7_precs,Class_8_precs,Class_9_precs,Class_0_recall,Class_1_recall,Class_2_recall,Class_3_recall,Class_4_recall,Class_5_recall,Class_6_recall,Class_7_recall,Class_8_recall,Class_9_recall,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,Control_v1_0,80.578125,100,0.40769243722053394,109,0.9175050301810865,0.9530434782608695,0.6223880597014926,0.8491735537190083,0.8188073394495413,0.8088235294117647,0.9497716894977168,0.8368421052631579,0.7657266811279827,0.8112798264642083,0.9212121212121213,0.9733570159857904,0.8853503184713376,0.7965116279069767,0.7315573770491803,0.7252747252747253,0.8739495798319328,0.9120458891013384,0.7233606557377049,0.7123809523809523,456,0,28,0,0,3,4,1,3,0,0,548,10,1,0,1,0,2,1,0,4,1,417,7,3,2,6,9,20,2,2,6,63,411,1,18,1,7,3,4,3,1,12,2,357,7,5,15,33,53,20,9,12,39,2,330,6,3,28,6,3,2,25,0,2,17,416,1,10,0,1,3,20,1,4,0,0,477,1,16,6,4,75,10,9,21,0,4,353,6,2,1,8,13,58,9,0,51,9,374
1,Control_v1_1,167.71875,100,0.3816897051731097,229,0.926530612244898,0.9653284671532847,0.7231638418079096,0.879492600422833,0.7175043327556326,0.4889807162534435,0.8769230769230769,0.8958333333333334,0.6958174904942965,0.8753056234718827,0.9171717171717172,0.9396092362344582,0.8152866242038217,0.8062015503875969,0.8483606557377049,0.7802197802197802,0.8382352941176471,0.904397705544933,0.375,0.6819047619047619,454,0,14,0,2,21,3,0,0,1,0,529,14,0,1,9,1,2,7,0,3,5,384,7,4,17,27,6,17,1,3,0,31,416,3,36,3,7,13,4,6,1,2,0,414,31,13,0,3,18,14,2,3,33,16,355,5,1,20,6,2,3,7,0,43,14,399,0,8,0,0,2,11,5,3,3,1,473,9,16,7,5,63,7,10,205,2,1,183,5,1,1,2,5,81,35,1,38,3,358
2,Control_v1_2,89.8125,100,0.30307664565103637,124,0.9475890985324947,0.9422066549912435,0.8498942917547568,0.7624784853700516,0.9041394335511983,0.8858560794044665,0.5442424242424242,0.9220532319391636,0.6542553191489362,0.8732394366197183,0.9131313131313131,0.955595026642984,0.8535031847133758,0.8585271317829457,0.8504098360655737,0.7846153846153846,0.9432773109243697,0.9273422562141491,0.2520491803278688,0.8266666666666667,452,0,9,0,0,3,28,0,2,1,0,538,6,1,2,0,5,1,8,2,3,8,402,14,5,0,23,5,10,1,1,1,19,443,0,12,8,10,17,5,2,4,3,2,415,10,14,5,1,32,4,3,1,47,0,357,26,4,13,0,5,3,3,0,10,2,449,0,3,1,1,0,16,4,2,1,4,485,0,10,6,10,14,48,6,12,255,3,123,11,3,4,0,22,19,6,13,13,11,434
3,Control_v1_3,96.4375,100,0.20058964863046358,129,0.96,0.953125,0.8876889848812095,0.7969924812030075,0.9299065420560748,0.8785310734463276,0.9059304703476483,0.8853046594982079,0.6444780635400907,0.8685344827586207,0.9212121212121213,0.9751332149200711,0.8726114649681529,0.8217054263565892,0.8155737704918032,0.6835164835164835,0.930672268907563,0.9445506692160612,0.8729508196721312,0.7676190476190476,456,0,4,1,0,0,4,3,27,0,0,549,4,0,1,0,1,4,4,0,1,0,411,9,1,1,8,8,29,3,3,9,16,424,0,13,1,3,45,2,0,1,3,2,398,9,13,2,14,46,7,4,4,62,0,311,11,3,52,1,3,1,1,0,3,4,443,2,19,0,0,1,10,4,1,0,0,494,8,5,3,9,10,13,3,10,7,3,426,4,2,2,0,17,21,6,1,36,37,403
4,Control_v1_4,92.25,100,0.17167087625170285,131,0.9487704918032787,0.9700704225352113,0.8973105134474327,0.7018633540372671,0.906318082788671,0.9293478260869565,0.9314775160599572,0.9168241965973535,0.7363796133567663,0.8777555110220441,0.9353535353535354,0.9786856127886323,0.7791932059447984,0.875968992248062,0.8524590163934426,0.7516483516483516,0.9138655462184874,0.9273422562141491,0.8586065573770492,0.8342857142857143,463,0,1,12,4,0,2,5,8,0,1,551,4,1,0,1,0,0,5,0,2,2,367,40,4,0,10,8,37,1,1,1,16,452,1,10,1,9,20,5,5,1,7,7,416,5,6,3,13,25,5,2,1,52,1,342,9,3,36,4,5,2,2,7,5,4,435,2,14,0,1,1,8,8,3,0,0,485,1,16,2,6,3,40,3,1,3,1,419,10,3,2,0,25,22,5,1,13,16,438
5,Control_v1_5,108.4375,100,0.3394461147562453,156,0.9464285714285714,0.9101497504159733,0.8299180327868853,0.8265524625267666,0.49710312862108924,0.8469135802469135,0.8997955010224948,0.9360824742268041,0.8054968287526427,0.8113879003558719,0.8565656565656565,0.9715808170515098,0.8598726114649682,0.748062015503876,0.8790983606557377,0.7538461538461538,0.9243697478991597,0.8680688336520076,0.7807377049180327,0.4342857142857143,424,0,6,0,44,12,6,1,2,0,0,547,5,1,2,1,0,2,5,0,3,2,405,2,29,0,6,12,11,1,1,5,31,386,14,17,1,5,37,19,5,3,4,0,429,1,20,2,9,15,8,21,3,37,7,343,11,1,19,5,0,2,2,0,17,11,440,0,4,0,3,1,22,9,21,1,1,454,2,9,3,18,8,13,40,17,4,0,381,4,1,2,2,19,260,2,0,8,3,228
6,Control_v1_6,94.265625,100,0.11752728967309836,142,0.9586776859504132,0.967741935483871,0.8704103671706264,0.8639846743295019,0.8239700374531835,0.9493975903614458,0.9090909090909091,0.8983050847457628,0.7594254937163375,0.8849557522123894,0.9373737373737374,0.9591474245115453,0.8556263269639066,0.874031007751938,0.9016393442622951,0.865934065934066,0.9243697478991597,0.9120458891013384,0.8668032786885246,0.7619047619047619,464,0,6,0,0,0,7,2,12,4,1,540,3,1,3,0,1,1,8,5,0,4,403,9,7,0,10,8,28,2,0,1,21,451,1,7,2,6,25,2,0,1,4,1,440,0,12,4,8,18,6,2,4,23,2,394,8,1,13,2,4,1,3,0,3,4,440,0,20,1,2,0,10,8,7,2,0,477,3,14,5,6,7,20,11,5,3,4,423,4,2,3,2,9,60,3,1,28,17,400
7,Control_v1_7,88.65625,100,0.1650423239365029,134,0.9583333333333334,0.9540636042402827,0.8990825688073395,0.6980273141122914,0.8959660297239915,0.8687350835322196,0.8974358974358975,0.8898916967509025,0.8410596026490066,0.8947368421052632,0.9292929292929293,0.9591474245115453,0.832271762208068,0.8914728682170543,0.8647540983606558,0.8,0.8823529411764706,0.9426386233269598,0.7807377049180327,0.8419047619047619,460,0,3,22,1,1,5,1,2,0,1,540,4,6,1,3,1,2,5,0,1,6,392,32,3,1,8,7,20,1,2,0,11,460,3,17,1,8,11,3,1,2,5,7,422,3,10,7,2,29,7,2,3,34,0,364,18,5,19,3,2,2,8,14,14,9,420,0,7,0,1,1,5,6,5,1,0,493,2,9,4,8,5,57,4,14,2,6,381,7,1,5,0,21,18,6,3,25,4,442
8,Control_v1_8,86.625,100,0.16287462188213084,130,0.9480249480249481,0.9548611111111112,0.7703252032520326,0.8525252525252526,0.8893528183716075,0.8679653679653679,0.890295358649789,0.9152215799614644,0.8392070484581498,0.7852112676056338,0.9212121212121213,0.9769094138543517,0.8046709129511678,0.8178294573643411,0.8729508196721312,0.8813186813186813,0.8865546218487395,0.9082217973231358,0.7807377049180327,0.8495238095238096,456,0,6,1,1,11,10,0,0,10,0,550,3,0,1,1,1,4,1,2,4,9,379,20,5,0,17,5,19,13,2,1,47,422,0,12,1,6,17,8,1,3,3,1,426,1,12,3,9,29,3,3,7,12,2,401,3,4,9,11,3,1,8,0,20,9,422,0,6,7,2,3,9,11,2,1,1,475,2,17,2,5,30,23,3,14,4,1,381,25,8,1,0,5,19,12,3,21,10,446
9,Control_v1_9,70.78125,100,0.10564167420547671,104,0.9646569646569647,0.9611992945326279,0.8605664488017429,0.9103139013452914,0.8824701195219123,0.8787185354691075,0.9100204498977505,0.9409448818897638,0.7004909983633388,0.886,0.9373737373737374,0.9680284191829485,0.8386411889596603,0.7868217054263565,0.9077868852459017,0.843956043956044,0.9348739495798319,0.9139579349904398,0.8770491803278688,0.8438095238095238,464,0,4,0,0,1,8,2,14,2,1,545,3,1,1,1,1,0,9,1,1,4,395,11,5,2,10,7,32,4,1,4,18,406,1,20,2,6,53,5,0,3,11,0,443,1,6,3,6,15,7,2,4,8,0,384,14,0,33,3,2,3,4,0,2,8,445,0,11,1,1,1,13,1,2,2,0,478,6,19,3,5,7,13,8,13,2,2,428,7,1,0,0,6,40,5,1,10,19,443
