,Name,train time [s],layers,loss val,iters,Class_0_precs,Class_1_precs,Class_2_precs,Class_3_precs,Class_4_precs,Class_5_precs,Class_6_precs,Class_7_precs,Class_8_precs,Class_9_precs,Class_0_recall,Class_1_recall,Class_2_recall,Class_3_recall,Class_4_recall,Class_5_recall,Class_6_recall,Class_7_recall,Class_8_recall,Class_9_recall,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,round_to_0_v1_0,20.734375,100,5.760020582772458,17,0.9383561643835616,0.6002227171492205,0.729381443298969,0.7766666666666666,0.771255060728745,0.8808139534883721,0.8225469728601252,0.8799076212471132,0.556,0.5068870523415978,0.8303030303030303,0.9573712255772646,0.6008492569002123,0.45155038759689925,0.7807377049180327,0.6659340659340659,0.8277310924369747,0.7284894837476099,0.569672131147541,0.700952380952381,411,20,7,3,0,13,10,5,5,21,0,539,7,2,1,2,0,0,12,0,1,70,283,21,4,0,6,1,60,25,5,66,37,233,8,11,11,5,65,75,1,10,6,2,381,2,6,9,5,66,12,24,20,5,0,303,46,5,25,15,0,51,5,1,4,4,394,0,17,0,3,12,12,11,5,0,0,381,22,77,1,96,8,11,4,4,5,2,278,79,4,10,3,11,87,5,1,25,11,368
1,round_to_0_v1_1,28.0625,100,6.732068962090074,23,0.9390756302521008,0.9010067114093959,0.8187633262260128,0.7142857142857143,0.909706546275395,0.722457627118644,0.8839103869653768,0.7138461538461538,0.6044776119402985,0.8019607843137255,0.9030303030303031,0.9538188277087034,0.8152866242038217,0.4941860465116279,0.8258196721311475,0.7494505494505495,0.9117647058823529,0.887189292543021,0.6639344262295082,0.7790476190476191,447,0,10,9,0,6,7,4,9,3,0,537,9,2,1,3,5,2,4,0,8,3,384,8,5,8,1,19,28,7,4,11,35,255,3,41,4,22,124,17,2,2,2,1,403,0,2,36,4,36,4,3,3,47,2,341,27,7,14,7,1,2,2,1,15,5,434,11,5,0,0,8,7,17,1,1,1,464,12,12,7,25,16,15,4,60,10,8,324,19,3,5,1,2,9,7,0,77,12,409
2,round_to_0_v1_2,32.765625,100,inf,26,0.9612068965517241,0.9661921708185054,0.7706766917293233,0.9026128266033254,0.9414316702819957,0.8924485125858124,0.9267782426778243,0.9047619047619048,0.6910299003322259,0.8687258687258688,0.901010101010101,0.9644760213143873,0.8704883227176221,0.7364341085271318,0.889344262295082,0.8571428571428571,0.930672268907563,0.9082217973231358,0.8524590163934426,0.8571428571428571,446,0,11,1,0,3,9,5,15,5,0,543,8,0,1,0,2,2,7,0,0,4,410,5,4,2,2,12,29,3,2,3,33,380,2,26,3,3,60,4,0,2,13,0,434,0,4,4,12,19,7,1,9,6,0,390,12,3,25,2,2,3,5,0,3,7,443,0,11,2,1,1,8,18,2,0,1,475,1,16,4,3,30,7,2,7,2,0,416,17,2,2,5,4,13,2,0,21,26,450
3,round_to_0_v1_3,29.625,100,2.108756109159611,25,0.9616252821670429,0.9816700610997964,0.8517350157728707,0.9382239382239382,0.8948717948717949,0.6388888888888888,0.9159663865546218,0.9160493827160494,0.2761290322580645,0.6761363636363636,0.8606060606060606,0.8561278863232682,0.5732484076433121,0.47093023255813954,0.7151639344262295,0.8593406593406593,0.6869747899159664,0.7093690248565966,0.8770491803278688,0.22666666666666666,426,0,2,1,1,3,6,0,53,3,0,482,4,1,1,0,1,2,72,0,0,1,270,3,1,6,6,10,160,14,2,1,28,243,1,83,2,2,148,6,1,1,3,1,349,20,5,4,84,20,6,1,0,2,0,391,8,1,42,4,0,1,6,2,9,26,327,1,104,0,3,1,2,2,6,2,0,371,127,9,1,3,2,1,1,48,1,2,428,1,4,0,0,3,21,33,1,12,332,119
4,round_to_0_v1_4,48.671875,100,1.986126274048614,40,0.781563126252505,0.9527896995708155,0.9077380952380952,0.40239043824701193,0.42138364779874216,0.9102990033222591,0.9133858267716536,0.9548872180451128,0.21847002067539628,0.6063829787234043,0.7878787878787878,0.7886323268206039,0.6475583864118896,0.39147286821705424,0.41188524590163933,0.6021978021978022,0.7310924369747899,0.7284894837476099,0.6495901639344263,0.21714285714285714,390,0,3,33,10,2,2,0,55,0,1,444,5,34,1,3,0,0,74,1,4,13,305,33,10,0,7,10,86,3,0,4,6,202,23,6,0,2,271,2,7,0,3,33,201,2,6,1,185,50,13,2,2,49,7,274,16,1,91,0,36,0,2,9,7,0,348,2,71,1,2,3,5,18,21,4,0,381,72,17,44,0,2,47,75,3,0,0,317,0,2,0,3,44,122,7,2,2,229,114
5,round_to_0_v1_5,37.109375,100,5.429289340543072,30,0.9706546275395034,0.8410493827160493,0.8317757009345794,0.927360774818402,0.789179104477612,0.6730103806228374,0.8936605316973415,0.8125,0.647887323943662,0.7208480565371025,0.8686868686868687,0.9680284191829485,0.7558386411889597,0.7422480620155039,0.8668032786885246,0.8549450549450549,0.9180672268907563,0.8451242829827916,0.4713114754098361,0.7771428571428571,430,0,8,0,8,3,6,15,16,9,0,545,4,0,1,0,2,9,1,1,1,10,356,7,8,21,8,21,22,17,0,18,30,383,2,41,2,12,24,4,0,7,4,0,423,1,5,4,5,39,2,5,7,10,1,389,20,5,9,7,3,2,8,0,8,9,437,0,5,4,2,17,5,3,22,4,0,442,4,24,2,29,6,6,29,103,8,22,230,53,3,15,0,4,34,7,1,14,39,408
6,round_to_0_v1_6,25.109375,100,2.471355231778466,20,0.8852459016393442,0.8953271028037383,0.26777020447906524,0.4,0.40160642570281124,0.3263598326359833,0.9315068493150684,0.7771739130434783,0.336231884057971,0.3287292817679558,0.5454545454545454,0.8507992895204263,0.583864118895966,0.5813953488372093,0.20491803278688525,0.34285714285714286,0.42857142857142855,0.5468451242829828,0.23770491803278687,0.4533333333333333,270,0,57,74,14,25,1,8,14,32,0,479,8,6,1,31,0,1,10,27,0,5,275,99,15,18,2,3,37,17,7,2,52,300,13,50,0,15,29,48,5,5,216,45,100,37,8,9,14,49,4,11,77,53,19,156,2,9,43,81,4,3,156,47,21,25,204,1,5,10,8,7,9,12,6,14,2,286,38,141,3,19,113,70,8,77,0,1,116,81,4,4,64,44,52,45,0,35,39,238
7,round_to_0_v1_7,24.265625,100,1.9816236467392183,20,0.6985294117647058,0.7647058823529411,0.3798076923076923,0.3493670886075949,0.6772009029345373,0.5604113110539846,0.7538461538461538,0.5157629255989912,0.32821497120921306,0.3248638838475499,0.7676767676767676,0.6696269982238011,0.3354564755838641,0.26744186046511625,0.6147540983606558,0.47912087912087914,0.7205882352941176,0.7820267686424475,0.35040983606557374,0.34095238095238095,380,2,1,26,5,5,22,21,13,20,1,377,108,14,9,0,11,3,20,20,34,25,158,55,13,10,29,64,39,44,22,35,47,138,7,37,9,61,85,75,8,4,14,10,300,15,11,32,24,70,33,11,4,64,13,218,9,48,28,27,34,11,13,23,13,15,343,6,14,4,6,3,12,6,1,1,0,409,20,65,17,16,48,50,27,81,16,15,171,47,9,9,11,9,55,7,5,134,107,179
8,round_to_0_v1_8,35.40625,100,8.753020480247429,29,0.9474789915966386,0.9753787878787878,0.9174757281553398,0.7995951417004049,0.8628318584070797,0.8628318584070797,0.9285714285714286,0.8773946360153256,0.5787878787878787,0.7784090909090909,0.9111111111111111,0.9147424511545293,0.802547770700637,0.7655038759689923,0.7991803278688525,0.8571428571428571,0.9285714285714286,0.875717017208413,0.7827868852459017,0.7828571428571428,451,0,8,0,0,3,8,6,13,6,0,515,3,2,4,4,0,1,34,0,2,4,378,11,2,1,2,21,49,1,2,1,10,395,0,26,3,8,58,13,3,1,5,3,390,2,11,1,35,37,2,2,0,30,2,390,8,0,14,7,7,1,3,0,7,7,442,0,9,0,1,0,5,12,2,0,0,458,12,33,1,4,0,30,24,11,2,14,382,20,7,0,0,11,21,8,0,13,54,411
9,round_to_0_v1_9,21.90625,100,inf,18,0.9768518518518519,0.7591036414565826,0.9420654911838791,0.8668122270742358,0.8686868686868687,0.9041769041769042,0.9108695652173913,0.7640449438202247,0.6278625954198473,0.9142857142857143,0.8525252525252526,0.9626998223801065,0.7940552016985138,0.7693798449612403,0.8811475409836066,0.8087912087912088,0.8802521008403361,0.9101338432122371,0.6741803278688525,0.8533333333333334,422,3,1,0,4,5,9,8,41,2,0,542,5,0,1,1,0,4,10,0,1,24,374,7,4,4,3,20,32,2,0,27,8,397,2,8,0,52,19,3,0,4,3,0,430,0,10,5,25,11,4,14,1,21,3,368,14,6,22,2,1,5,2,0,34,4,419,0,11,0,3,3,2,6,1,6,0,476,11,15,0,90,1,20,3,9,3,26,329,7,1,2,0,7,13,2,2,26,24,448
10,round_to_0_v1_10,34.078125,100,2.670064185953124,27,0.8425720620842572,0.9680451127819549,0.21176470588235294,0.6842105263157895,0.44339622641509435,0.33756805807622503,0.9043824701195219,0.5923076923076923,0.2597968069666183,0.3125778331257783,0.7676767676767676,0.9147424511545293,0.34394904458598724,0.22674418604651161,0.09631147540983606,0.8175824175824176,0.47689075630252103,0.14722753346080306,0.3668032786885246,0.4780952380952381,380,0,37,0,0,23,6,5,17,27,0,515,18,0,0,17,0,0,10,3,12,6,162,4,8,38,2,25,170,44,17,0,118,117,9,108,2,5,102,38,3,0,54,14,47,18,7,6,54,285,5,2,54,5,0,372,1,0,5,11,6,4,97,1,25,55,227,5,22,34,6,3,14,12,0,307,1,77,44,59,20,1,138,7,3,87,1,1,179,51,2,1,73,11,14,77,4,6,86,251
11,round_to_0_v1_11,43.03125,100,inf,36,0.9743589743589743,0.9303904923599321,0.8650306748466258,0.8388429752066116,0.9322429906542056,0.8477272727272728,0.9484029484029484,0.8663194444444444,0.7085514834205934,0.826007326007326,0.9212121212121213,0.9733570159857904,0.8980891719745223,0.7868217054263565,0.8176229508196722,0.8197802197802198,0.8109243697478992,0.9541108986615678,0.8319672131147541,0.8590476190476191,456,0,2,0,1,5,8,5,16,2,1,548,4,2,1,0,1,4,2,0,0,3,423,2,5,3,2,14,16,3,0,3,34,406,0,33,2,10,27,1,0,5,3,1,399,1,4,12,6,57,6,2,2,28,0,373,2,0,38,4,1,3,9,15,11,7,386,0,40,4,0,3,8,1,1,0,0,499,4,7,3,16,4,24,1,12,1,4,406,17,1,6,0,5,9,6,1,28,18,451
12,round_to_0_v1_12,29.46875,100,inf,24,0.8978260869565218,0.8519134775374376,0.900990099009901,0.326625386996904,0.8391304347826087,0.8517520215633423,0.9149425287356322,0.86810551558753,0.3684210526315789,0.6201413427561837,0.8343434343434344,0.9094138543516874,0.5796178343949044,0.8178294573643411,0.7909836065573771,0.6945054945054945,0.8361344537815126,0.6921606118546845,0.07172131147540983,0.6685714285714286,413,17,2,37,0,1,8,6,1,10,1,512,5,40,1,1,0,0,1,2,0,3,273,155,7,2,9,1,16,5,7,15,6,422,8,6,0,13,22,17,2,4,2,30,386,1,10,7,2,44,30,8,0,71,3,316,9,10,2,6,0,30,4,28,7,3,398,2,0,4,0,1,6,113,8,4,0,362,5,24,5,8,4,288,4,31,0,10,35,103,2,3,1,108,36,6,1,6,11,351
13,round_to_0_v1_13,23.203125,100,inf,19,0.9161147902869757,0.9828897338403042,0.8517520215633423,0.6852459016393443,0.9232613908872902,0.8311345646437994,0.7361623616236163,0.8713768115942029,0.5573065902578797,0.8584070796460177,0.8383838383838383,0.9182948490230906,0.6709129511677282,0.810077519379845,0.7889344262295082,0.6923076923076923,0.8382352941176471,0.9196940726577438,0.7971311475409836,0.7390476190476191,415,0,12,0,0,11,29,0,26,2,0,517,4,7,1,1,5,0,28,0,6,2,316,16,2,5,48,11,59,6,5,1,6,418,2,17,3,6,58,0,1,0,7,2,385,6,39,2,16,30,12,2,4,69,1,315,11,1,37,3,10,2,5,0,2,7,399,0,49,2,1,0,6,19,3,0,0,481,5,8,1,0,6,51,5,12,6,5,389,13,2,2,5,28,16,5,2,46,31,388
14,round_to_0_v1_14,48.171875,100,1.5167097318034817,39,0.9141914191419142,0.9927884615384616,0.6572237960339944,0.45,0.21123829344432882,0.748792270531401,0.8466666666666667,0.828,0.21428571428571427,0.5266903914590747,0.5595959595959596,0.7335701598579041,0.49256900212314225,0.05232558139534884,0.8319672131147541,0.34065934065934067,0.5336134453781513,0.7915869980879541,0.2889344262295082,0.2819047619047619,277,0,4,5,182,0,8,0,15,4,0,413,17,1,12,5,20,1,89,5,8,1,232,7,131,3,3,12,56,18,5,0,36,27,239,29,2,12,150,16,2,0,10,4,406,2,11,8,35,10,4,0,10,8,194,155,2,1,57,24,3,1,10,1,142,6,254,1,58,0,0,0,3,2,60,1,0,414,10,33,0,1,16,1,304,1,0,1,141,23,4,0,15,4,252,5,0,50,47,148
15,round_to_0_v1_15,17.03125,100,3.6636974034729626,14,0.8530927835051546,0.6045714285714285,0.6343434343434343,0.7516339869281046,0.7834394904458599,0.4522058823529412,0.673036093418259,0.9475409836065574,0.3778409090909091,0.34424695977549113,0.6686868686868687,0.9396092362344582,0.6666666666666666,0.6686046511627907,0.5040983606557377,0.2703296703296703,0.6659663865546218,0.5525812619502868,0.2725409836065574,0.700952380952381,331,1,19,3,0,20,8,0,8,105,0,529,16,0,0,0,9,0,7,2,22,32,314,15,11,8,9,5,14,41,7,21,32,345,1,21,21,3,11,54,0,26,8,4,246,10,24,1,27,142,8,38,19,25,1,123,53,0,79,109,10,51,36,0,12,13,317,1,21,15,1,16,15,51,1,12,2,289,8,128,8,135,26,13,1,52,12,3,133,105,1,26,10,3,41,13,16,3,44,368
16,round_to_0_v1_16,85.515625,100,1.362154250534377,69,0.961864406779661,0.9466192170818505,0.7973856209150327,0.547911547911548,0.5615384615384615,0.6811594202898551,0.6590538336052202,0.9027027027027027,0.5403225806451613,0.19215686274509805,0.4585858585858586,0.9449378330373002,0.5180467091295117,0.4321705426356589,0.4487704918032787,0.3098901098901099,0.8487394957983193,0.638623326959847,0.13729508196721313,0.6533333333333333,227,0,2,9,6,7,4,2,2,236,0,532,2,5,2,2,7,2,1,10,0,8,244,25,11,5,75,10,8,85,0,1,28,223,11,20,38,12,18,165,1,8,2,28,219,6,16,4,7,197,3,1,1,15,11,141,23,2,7,251,1,4,3,3,6,0,404,0,1,54,2,2,9,24,17,5,8,334,2,120,1,3,15,33,10,13,22,0,67,324,1,3,0,42,97,8,16,4,11,343
17,round_to_0_v1_17,28.140625,100,inf,23,0.8809980806142035,0.8772504091653028,0.8035264483627204,0.8524945770065075,0.8744588744588745,0.9055555555555556,0.9204545454545454,0.8366666666666667,0.577054794520548,0.7588652482269503,0.9272727272727272,0.9520426287744227,0.6772823779193206,0.7616279069767442,0.8278688524590164,0.7164835164835165,0.8508403361344538,0.9598470363288719,0.6905737704918032,0.8152380952380952,459,0,7,0,1,3,7,1,14,3,1,536,4,1,1,1,1,10,8,0,7,19,319,7,9,1,7,39,50,13,4,14,16,393,2,10,9,8,52,8,1,2,4,1,404,0,5,13,9,49,16,3,10,20,5,326,4,2,67,2,16,4,12,0,6,9,405,1,23,0,0,1,5,1,0,0,1,502,3,10,11,31,17,24,3,4,1,9,337,51,6,1,3,14,31,6,0,15,21,428
18,round_to_0_v1_18,19.78125,100,inf,16,0.9666666666666667,0.8659305993690851,0.7718940936863544,0.6985413290113452,0.8850806451612904,0.8567567567567568,0.7710843373493976,0.9477272727272728,0.8085585585585585,0.7337526205450734,0.8787878787878788,0.9751332149200711,0.8046709129511678,0.8352713178294574,0.8995901639344263,0.6967032967032967,0.9411764705882353,0.7973231357552581,0.735655737704918,0.6666666666666666,435,0,8,1,0,1,31,2,4,13,0,549,7,1,1,0,3,0,2,0,0,6,379,4,3,0,36,7,28,8,1,5,47,431,0,8,5,3,10,6,1,6,3,2,439,0,13,1,9,14,3,5,4,90,1,317,23,1,6,5,0,3,3,0,4,5,448,0,13,0,4,15,30,13,8,1,0,417,2,33,3,14,8,22,4,15,15,0,359,48,3,31,2,53,36,23,7,9,11,350
19,round_to_0_v1_19,26.21875,100,2.3454949276182835,22,0.9315068493150684,0.9509345794392523,0.8337801608579088,0.8013245033112583,0.8837209302325582,0.5585331452750353,0.9297052154195011,0.841642228739003,0.25906394199077126,0.6540697674418605,0.8242424242424242,0.7229129662522202,0.6602972399150743,0.23449612403100775,0.4672131147540984,0.8703296703296703,0.8613445378151261,0.5487571701720841,0.805327868852459,0.42857142857142855,408,0,4,3,0,32,3,0,45,0,1,407,2,6,0,0,1,14,132,0,1,3,311,5,2,4,6,3,132,4,14,4,8,121,0,198,2,4,160,5,2,0,5,1,228,8,6,6,137,95,2,2,3,3,2,396,12,3,30,2,2,0,6,0,2,11,410,0,45,0,0,7,10,2,1,10,0,287,204,2,4,3,24,6,0,36,1,10,393,11,4,2,0,4,23,14,0,14,239,225
20,round_to_0_v1_20,54.5,100,2.4368570786349677,43,0.9825436408977556,0.8938053097345132,0.28498985801217036,0.42755344418052255,0.8388059701492537,0.8006535947712419,0.8814968814968815,0.7445109780439122,0.20962199312714777,0.386986301369863,0.795959595959596,0.8969804618117229,0.5966029723991507,0.6976744186046512,0.5758196721311475,0.5384615384615384,0.8907563025210085,0.7131931166347992,0.125,0.21523809523809523,394,0,44,28,0,4,18,0,7,0,0,505,35,2,1,0,0,16,4,0,2,12,281,90,7,10,5,10,32,22,2,5,99,360,0,16,3,10,13,8,0,1,45,8,281,0,8,18,23,104,1,4,39,128,0,245,20,0,12,6,0,0,24,13,6,3,424,1,4,1,0,30,81,3,4,0,0,373,24,8,1,4,163,171,3,25,1,29,61,30,1,4,175,39,33,3,2,44,111,113
