,train time min,train time max,train time avg,loss value min,loss value max,loss value avg,iterations min,iterations max,iterations avg,average precision,average recall
single_layer_models_control_v1_20,5.296875,52.296875,16.6175,1.001021516,2.301183101,1.985273619,26,251,80.6,0.165458526,0.20130514
single_layer_models_control_v1_40,5.734375,72.8125,26.09234375,0.342323069,2.300712694,1.362206156,21,280,98.6,0.435541253,0.428471393
single_layer_models_control_v1_60,10.46875,73.484375,35.7109375,0.165750149,1.98106261,0.861035256,32,222,108.04,0.637746121,0.616051939
single_layer_models_control_v1_80,11.015625,105.609375,52.61640625,0.127963772,1.997303974,0.47560638,29,272,135.48,0.786215162,0.771275003
single_layer_models_control_v1_100,32.1875,168.796875,84.66140625,0.078461273,1.959047062,0.293540597,48,251,126.08,0.847763152,0.840399164
single_layer_models_control_v1_120,58.21875,149.171875,92.6896875,0.086590071,0.747623285,0.187552983,75,192,118.43,0.882095027,0.877723562
single_layer_models_round_0_decimals_v1_20,5.265625,49.546875,18.0509375,1.202512116,2.301119184,1.968263643,25,227,81.97,0.16028525,0.207877477
single_layer_models_round_0_decimals_v1_40,6.328125,78.484375,24.2609375,0.220341623,2.301064906,1.414841665,21,275,88.48,0.414031718,0.40560519
single_layer_models_round_0_decimals_v1_60,13.953125,74.9375,40.39453125,0.185052863,1.739007027,0.83438854,42,219,116.81,0.648491424,0.626198761
single_layer_models_round_0_decimals_v1_80,14.4375,95.078125,51.60671875,0.145598336,1.738756878,0.505240389,37,236,128.12,0.78083227,0.76220771
single_layer_models_round_0_decimals_v1_100,38.09375,183.65625,95.224375,0.100035822,1.247123884,0.258886975,52,242,128.81,0.859224335,0.852098957
single_layer_models_round_0_decimals_v1_120,30.359375,171.609375,104.5698438,0.07386224,1.308251991,0.212484782,35,200,121.1,0.873132787,0.866539995
single_layer_models_round_0_decimals_v2_20,5.203125,46.390625,18.0515625,1.171992016,2.301075973,2.002796158,25,218,84.96,0.152246911,0.195766585
single_layer_models_round_0_decimals_v2_40,6.15625,79.09375,26.47921875,0.30693673,2.301064876,1.346102729,23,297,99.38,0.439331259,0.434308259
single_layer_models_round_0_decimals_v2_60,7.375,72.59375,40.8603125,0.147072447,1.956860311,0.798036207,22,218,122.25,0.663872991,0.642995939
single_layer_models_round_0_decimals_v2_80,21,136.828125,58.750625,0.126483732,1.655533886,0.429791856,47,311,131.01,0.801755843,0.788462242
single_layer_models_round_0_decimals_v2_100,38.234375,200.140625,93.085,0.095641124,1.186108468,0.2874987,52,271,126.84,0.850418417,0.840640952
single_layer_models_round_0_decimals_v2_120,49.5,206.90625,103.9090625,0.085711927,1.316058792,0.218653479,59,245,122.53,0.869729222,0.864724822
single_layer_models_gaussian_noise_v1_20,2.84375,21.859375,9.77578125,1.141325864,2.572621745,2.177057149,13,97,43.22,0.181047961,0.203620361
single_layer_models_gaussian_noise_v1_40,5.640625,57.078125,22.62734375,0.449791022,2.541174234,1.496768812,20,189,76.99,0.43237303,0.42191418
single_layer_models_gaussian_noise_v1_60,11.40625,86.78125,35.12640625,0.154053119,2.17360308,0.954269741,30,243,98.36,0.619917906,0.608545686
single_layer_models_gaussian_noise_v1_80,9.515625,121.78125,47.9459375,0.140037226,2.190862857,0.543083729,22,282,112.49,0.767897014,0.758038292
single_layer_models_gaussian_noise_v1_100,29.78125,225.171875,92.370625,0.084478058,1.2163793,0.31047004,39,295,120.74,0.845396144,0.840462603
single_layer_models_gaussian_noise_v1_120,62.25,188.65625,102.7342188,0.079010717,0.630503226,0.189323362,70,211,115.94,0.886182467,0.883626228
double_layer_models_control_v1_20,4.734375,74.765625,22.8359375,0.190187058,2.334696489,1.837764224,22,336,101.87,0.198105023,0.259895776
double_layer_models_control_v1_40,4.53125,112.140625,44.8703125,0.082693423,2.301262016,1.113139705,15,400,157.34,0.508560495,0.530250672
double_layer_models_control_v1_60,6.953125,182.6875,75.8171875,0.091572283,2.301944458,0.878023363,14,400,166.59,0.59368732,0.608280508
double_layer_models_control_v1_80,8.640625,196.953125,90.48421875,0.050501795,2.301193432,0.627561644,16,374,170.92,0.703317565,0.703260752
double_layer_models_control_v1_100,16.078125,336.6875,128.720625,0.03404943,2.301512856,0.68322647,19,400,154.27,0.680634154,0.683116096
double_layer_models_control_v1_120,27.953125,385.671875,156.3170313,0.003502494,2.103983912,0.44790054,29,394,162.24,0.769007303,0.768316341
