,Train Time,Loss Value,Iterations,Class_0_precision,Class_1_precision,Class_2_precision,Class_3_precision,Class_4_precision,Class_5_precision,Class_6_precision,Class_7_precision,Class_8_precision,Class_9_precision,Class_0_recal,Class_1_recal,Class_2_recal,Class_3_recal,Class_4_recal,Class_5_recal,Class_6_recal,Class_7_recal,Class_8_recal,Class_9_recal,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,46.40625,0.05395684186993069,123.0,0.9434850863422292,0.9755725190839695,0.9272388059701493,0.8636363636363636,0.8883248730964467,0.9181034482758621,0.9351701782820098,0.9066265060240963,0.8791946308724832,0.867109634551495,0.9616,0.9726027397260274,0.8613518197573656,0.8677165354330708,0.9130434782608695,0.8676171079429735,0.9616666666666667,0.9347826086956522,0.9018932874354562,0.848780487804878,601.0,0.0,5.0,1.0,7.0,0.0,6.0,1.0,1.0,3.0,1.0,639.0,3.0,2.0,1.0,2.0,0.0,2.0,5.0,2.0,3.0,7.0,497.0,21.0,6.0,1.0,7.0,8.0,21.0,6.0,4.0,0.0,13.0,551.0,2.0,16.0,1.0,16.0,19.0,13.0,4.0,2.0,3.0,1.0,525.0,0.0,6.0,8.0,0.0,26.0,9.0,3.0,2.0,22.0,1.0,426.0,18.0,0.0,6.0,4.0,8.0,0.0,3.0,0.0,4.0,2.0,577.0,0.0,6.0,0.0,0.0,0.0,2.0,13.0,9.0,2.0,0.0,602.0,1.0,15.0,2.0,3.0,4.0,16.0,5.0,12.0,1.0,3.0,524.0,11.0,5.0,1.0,4.0,11.0,31.0,3.0,1.0,24.0,13.0,522.0
1,38.828125,0.0016750552223355904,101.0,0.9585987261146497,0.9769230769230769,0.897133220910624,0.8976,0.9176882661996497,0.9104166666666667,0.9435215946843853,0.9247311827956989,0.9072164948453608,0.8964401294498382,0.9632,0.9665144596651446,0.9220103986135182,0.8834645669291339,0.9113043478260869,0.890020366598778,0.9466666666666667,0.9347826086956522,0.9087779690189329,0.9008130081300812,602.0,0.0,3.0,1.0,3.0,5.0,6.0,3.0,1.0,1.0,1.0,635.0,8.0,2.0,1.0,2.0,0.0,1.0,5.0,2.0,2.0,2.0,532.0,11.0,9.0,1.0,3.0,6.0,7.0,4.0,0.0,2.0,18.0,561.0,1.0,15.0,0.0,13.0,12.0,13.0,2.0,1.0,4.0,1.0,524.0,1.0,8.0,3.0,2.0,29.0,3.0,1.0,0.0,23.0,0.0,437.0,12.0,4.0,11.0,0.0,5.0,0.0,6.0,0.0,4.0,6.0,568.0,0.0,11.0,0.0,1.0,4.0,9.0,7.0,9.0,1.0,0.0,602.0,0.0,11.0,7.0,5.0,11.0,10.0,3.0,7.0,4.0,2.0,528.0,4.0,5.0,0.0,2.0,9.0,17.0,5.0,1.0,17.0,5.0,554.0
2,53.421875,0.041794320482486776,140.0,0.9607843137254902,0.9650986342943855,0.8592471358428805,0.8643533123028391,0.9126559714795008,0.9019607843137255,0.8993610223642172,0.904047976011994,0.8699472759226714,0.8770764119601329,0.9408,0.9680365296803652,0.9098786828422877,0.862992125984252,0.8904347826086957,0.8431771894093686,0.9383333333333334,0.9363354037267081,0.8519793459552496,0.8585365853658536,588.0,0.0,8.0,1.0,1.0,2.0,17.0,4.0,3.0,1.0,0.0,636.0,7.0,3.0,2.0,0.0,0.0,6.0,2.0,1.0,7.0,3.0,525.0,8.0,2.0,1.0,14.0,8.0,9.0,0.0,1.0,5.0,25.0,548.0,2.0,16.0,2.0,12.0,15.0,9.0,1.0,0.0,3.0,2.0,512.0,3.0,10.0,6.0,1.0,37.0,6.0,2.0,6.0,26.0,3.0,414.0,11.0,0.0,20.0,3.0,0.0,1.0,10.0,0.0,8.0,4.0,563.0,1.0,13.0,0.0,0.0,2.0,12.0,9.0,5.0,0.0,1.0,603.0,0.0,12.0,8.0,8.0,12.0,23.0,2.0,14.0,6.0,2.0,495.0,11.0,1.0,2.0,3.0,14.0,24.0,5.0,2.0,25.0,11.0,528.0
3,33.515625,0.04071569589465523,90.0,0.955810147299509,0.906030855539972,0.867003367003367,0.9124579124579124,0.8890728476821192,0.8991416309012875,0.9414715719063546,0.9583333333333334,0.8620102214650767,0.8883415435139573,0.9344,0.9832572298325722,0.8925476603119584,0.8535433070866142,0.9339130434782609,0.8533604887983707,0.9383333333333334,0.9285714285714286,0.8709122203098106,0.8796747967479674,584.0,1.0,14.0,1.0,1.0,7.0,5.0,2.0,8.0,2.0,0.0,646.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,12.0,515.0,6.0,8.0,2.0,13.0,1.0,14.0,0.0,0.0,15.0,15.0,542.0,0.0,17.0,1.0,6.0,27.0,12.0,3.0,1.0,5.0,0.0,537.0,3.0,3.0,0.0,4.0,19.0,3.0,1.0,2.0,26.0,8.0,419.0,8.0,2.0,16.0,6.0,3.0,1.0,12.0,0.0,8.0,5.0,563.0,1.0,6.0,1.0,1.0,9.0,10.0,2.0,5.0,0.0,0.0,598.0,1.0,18.0,4.0,20.0,13.0,5.0,10.0,10.0,4.0,1.0,506.0,8.0,7.0,7.0,4.0,10.0,24.0,3.0,1.0,13.0,5.0,541.0
4,66.125,0.3208216381497152,178.0,0.9525316455696202,0.9177679882525698,0.8392554991539763,0.4810009267840593,0.8322475570032574,0.8429752066115702,0.9018003273322422,0.8808446455505279,0.4024390243902439,0.8525754884547069,0.9632,0.9512937595129376,0.8596187175043327,0.8173228346456692,0.888695652173913,0.8309572301425662,0.9183333333333333,0.906832298136646,0.05679862306368331,0.7804878048780488,602.0,0.0,4.0,5.0,1.0,8.0,3.0,0.0,1.0,1.0,0.0,625.0,3.0,6.0,1.0,0.0,14.0,1.0,6.0,1.0,8.0,3.0,496.0,24.0,12.0,2.0,14.0,5.0,12.0,1.0,3.0,11.0,22.0,519.0,6.0,29.0,1.0,22.0,19.0,3.0,0.0,1.0,8.0,0.0,511.0,1.0,14.0,1.0,1.0,38.0,4.0,4.0,10.0,44.0,4.0,408.0,8.0,2.0,5.0,2.0,4.0,11.0,17.0,2.0,5.0,7.0,551.0,0.0,3.0,0.0,2.0,5.0,7.0,7.0,6.0,0.0,1.0,584.0,1.0,31.0,5.0,19.0,22.0,451.0,14.0,23.0,5.0,3.0,33.0,6.0,4.0,2.0,2.0,21.0,54.0,6.0,0.0,45.0,1.0,480.0
5,52.421875,0.05838134956033204,141.0,0.9365079365079365,0.9420505200594353,0.908256880733945,0.85,0.8828382838283828,0.8657024793388429,0.9141004862236629,0.9294871794871795,0.8523489932885906,0.8632478632478633,0.944,0.9649923896499238,0.8578856152512998,0.8566929133858268,0.9304347826086956,0.8533604887983707,0.94,0.9006211180124224,0.8743545611015491,0.8211382113821138,590.0,0.0,1.0,5.0,0.0,11.0,4.0,3.0,9.0,2.0,2.0,634.0,5.0,6.0,2.0,2.0,0.0,3.0,3.0,0.0,3.0,18.0,495.0,18.0,8.0,2.0,11.0,5.0,17.0,0.0,9.0,3.0,16.0,544.0,3.0,25.0,0.0,9.0,18.0,8.0,0.0,1.0,5.0,0.0,535.0,1.0,8.0,1.0,3.0,21.0,10.0,0.0,1.0,32.0,2.0,419.0,15.0,1.0,7.0,4.0,5.0,2.0,6.0,0.0,3.0,9.0,564.0,0.0,11.0,0.0,2.0,4.0,8.0,8.0,5.0,1.0,0.0,580.0,1.0,35.0,6.0,6.0,7.0,17.0,7.0,6.0,13.0,1.0,508.0,10.0,3.0,5.0,1.0,10.0,41.0,8.0,2.0,21.0,19.0,505.0
6,61.234375,0.12362656492579296,160.0,0.9348171701112877,0.945619335347432,0.9097888675623801,0.8351145038167939,0.895017793594306,0.793168880455408,0.9119601328903655,0.8556390977443609,0.8079470198675497,0.8516579406631762,0.9408,0.9528158295281582,0.8214904679376083,0.8614173228346457,0.8747826086956522,0.8513238289205702,0.915,0.8835403726708074,0.8399311531841652,0.7934959349593496,588.0,0.0,7.0,2.0,3.0,17.0,2.0,1.0,5.0,0.0,0.0,626.0,3.0,5.0,2.0,2.0,1.0,3.0,12.0,3.0,8.0,7.0,474.0,31.0,3.0,7.0,13.0,7.0,25.0,2.0,2.0,4.0,12.0,547.0,1.0,31.0,2.0,14.0,19.0,3.0,4.0,2.0,3.0,1.0,503.0,2.0,13.0,5.0,1.0,41.0,10.0,0.0,3.0,22.0,0.0,418.0,13.0,3.0,18.0,4.0,8.0,2.0,7.0,1.0,6.0,18.0,549.0,0.0,9.0,0.0,1.0,1.0,8.0,19.0,10.0,3.0,0.0,569.0,11.0,22.0,3.0,18.0,3.0,14.0,4.0,25.0,8.0,8.0,488.0,10.0,5.0,2.0,1.0,13.0,30.0,4.0,1.0,55.0,16.0,488.0
7,52.765625,0.047144498302393416,142.0,0.9638157894736842,0.9767080745341615,0.8739495798319328,0.9013605442176871,0.8493589743589743,0.8455284552845529,0.9008,0.9306625577812019,0.8656195462478184,0.893687707641196,0.9376,0.9573820395738204,0.901213171577123,0.8346456692913385,0.9217391304347826,0.8472505091649695,0.9383333333333334,0.937888198757764,0.8537005163511188,0.8747967479674796,586.0,0.0,7.0,7.0,4.0,4.0,9.0,1.0,6.0,1.0,0.0,629.0,12.0,2.0,1.0,2.0,3.0,1.0,4.0,3.0,1.0,3.0,520.0,9.0,14.0,3.0,7.0,8.0,11.0,1.0,2.0,2.0,16.0,530.0,0.0,38.0,1.0,13.0,18.0,15.0,0.0,1.0,8.0,0.0,530.0,1.0,8.0,4.0,3.0,20.0,5.0,3.0,3.0,15.0,3.0,416.0,18.0,0.0,20.0,8.0,4.0,1.0,12.0,0.0,13.0,1.0,563.0,0.0,6.0,0.0,1.0,1.0,9.0,8.0,8.0,0.0,0.0,604.0,3.0,10.0,3.0,4.0,8.0,6.0,13.0,22.0,14.0,9.0,496.0,6.0,6.0,0.0,0.0,11.0,38.0,5.0,2.0,9.0,6.0,538.0
8,30.09375,0.024563914910082436,81.0,0.9555555555555556,0.9755351681957186,0.9130434782608695,0.8710691823899371,0.9036777583187391,0.8799171842650103,0.9162640901771336,0.9380952380952381,0.8735244519392917,0.8797364085667215,0.9632,0.9710806697108066,0.9098786828422877,0.8724409448818897,0.8973913043478261,0.8655804480651731,0.9483333333333334,0.9177018633540373,0.891566265060241,0.8682926829268293,602.0,0.0,1.0,2.0,2.0,2.0,8.0,1.0,4.0,3.0,0.0,638.0,6.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,525.0,11.0,6.0,3.0,8.0,1.0,16.0,1.0,1.0,2.0,13.0,554.0,0.0,26.0,1.0,8.0,24.0,6.0,4.0,3.0,2.0,1.0,516.0,3.0,8.0,5.0,1.0,32.0,5.0,2.0,2.0,20.0,2.0,425.0,17.0,2.0,13.0,3.0,2.0,1.0,4.0,3.0,9.0,8.0,569.0,0.0,4.0,0.0,1.0,0.0,13.0,9.0,8.0,0.0,1.0,591.0,1.0,20.0,9.0,3.0,6.0,12.0,4.0,12.0,9.0,2.0,518.0,6.0,4.0,1.0,3.0,18.0,22.0,4.0,0.0,19.0,10.0,534.0
9,48.640625,0.048208168949265356,128.0,0.9206106870229007,0.950965824665676,0.8978494623655914,0.908485856905158,0.8821490467937608,0.8529411764705882,0.928,0.9090909090909091,0.8841121495327103,0.8789915966386554,0.9648,0.974124809741248,0.8682842287694974,0.8598425196850393,0.8852173913043478,0.8859470468431772,0.9666666666666667,0.9472049689440993,0.8141135972461274,0.8504065040650407,603.0,0.0,4.0,2.0,2.0,4.0,8.0,0.0,1.0,1.0,1.0,640.0,1.0,3.0,4.0,1.0,0.0,4.0,3.0,0.0,12.0,10.0,501.0,9.0,13.0,0.0,11.0,7.0,9.0,5.0,0.0,2.0,24.0,546.0,2.0,27.0,0.0,16.0,15.0,3.0,7.0,2.0,3.0,1.0,509.0,5.0,9.0,5.0,0.0,34.0,4.0,1.0,2.0,12.0,4.0,435.0,9.0,0.0,17.0,7.0,4.0,0.0,2.0,1.0,6.0,1.0,580.0,0.0,6.0,0.0,4.0,5.0,6.0,3.0,2.0,1.0,0.0,610.0,2.0,11.0,9.0,8.0,14.0,17.0,7.0,31.0,8.0,3.0,473.0,11.0,11.0,5.0,1.0,7.0,28.0,5.0,0.0,26.0,9.0,523.0
