,Train Time,Loss Value,Iterations,Class_0_precision,Class_1_precision,Class_2_precision,Class_3_precision,Class_4_precision,Class_5_precision,Class_6_precision,Class_7_precision,Class_8_precision,Class_9_precision,Class_0_recal,Class_1_recal,Class_2_recal,Class_3_recal,Class_4_recal,Class_5_recal,Class_6_recal,Class_7_recal,Class_8_recal,Class_9_recal,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,51.0,0.3447628244817526,151.0,0.9181380417335474,0.9678899082568807,0.8527918781725888,0.8333333333333334,0.7625201938610663,0.7263374485596708,0.8751974723538705,0.9083333333333333,0.6934812760055479,0.8195991091314031,0.9152,0.9634703196347032,0.8734835355285961,0.8188976377952756,0.8208695652173913,0.7189409368635438,0.9233333333333333,0.8462732919254659,0.8605851979345955,0.5983739837398374,572.0,0.0,4.0,0.0,2.0,17.0,8.0,1.0,21.0,0.0,1.0,633.0,3.0,1.0,0.0,4.0,0.0,2.0,12.0,1.0,4.0,3.0,504.0,15.0,3.0,3.0,19.0,3.0,22.0,1.0,0.0,2.0,33.0,520.0,2.0,47.0,1.0,5.0,22.0,3.0,0.0,4.0,4.0,0.0,472.0,2.0,20.0,12.0,8.0,53.0,20.0,3.0,3.0,47.0,1.0,353.0,15.0,3.0,45.0,1.0,5.0,0.0,5.0,0.0,6.0,6.0,554.0,0.0,24.0,0.0,5.0,1.0,27.0,15.0,17.0,10.0,1.0,545.0,11.0,12.0,10.0,4.0,8.0,7.0,2.0,22.0,13.0,5.0,500.0,10.0,6.0,4.0,0.0,19.0,114.0,22.0,2.0,24.0,56.0,368.0
1,33.0,0.8351743819925564,99.0,0.9671052631578947,0.9533132530120482,0.869198312236287,0.8684654300168634,0.2256857855361596,0.25,0.9184692179700499,0.967128027681661,0.2558139534883721,0.0,0.9408,0.9634703196347032,0.7140381282495667,0.8110236220472441,0.9443478260869566,0.016293279022403257,0.92,0.8680124223602484,0.0189328743545611,0.0,588.0,0.0,1.0,2.0,27.0,0.0,4.0,0.0,3.0,0.0,0.0,633.0,3.0,4.0,10.0,1.0,1.0,0.0,5.0,0.0,6.0,11.0,412.0,15.0,120.0,2.0,6.0,0.0,5.0,0.0,0.0,1.0,25.0,515.0,73.0,7.0,1.0,8.0,5.0,0.0,0.0,2.0,1.0,4.0,543.0,3.0,19.0,1.0,1.0,1.0,4.0,0.0,14.0,24.0,420.0,8.0,14.0,0.0,7.0,0.0,3.0,1.0,2.0,0.0,41.0,0.0,552.0,0.0,1.0,0.0,3.0,2.0,6.0,9.0,64.0,1.0,0.0,559.0,0.0,0.0,3.0,10.0,6.0,11.0,529.0,8.0,3.0,0.0,11.0,0.0,1.0,4.0,4.0,9.0,579.0,2.0,1.0,10.0,5.0,0.0
2,83.0,0.6137947770495151,253.0,0.9716666666666667,0.9618320610687023,0.42551440329218104,0.6036036036036037,0.7313868613138687,0.8342696629213483,0.79421768707483,0.9253731343283582,0.6843501326259946,0.8639455782312925,0.9328,0.958904109589041,0.8960138648180243,0.3165354330708661,0.871304347826087,0.604887983706721,0.7783333333333333,0.8664596273291926,0.4440619621342513,0.8260162601626017,583.0,0.0,16.0,0.0,3.0,4.0,8.0,2.0,9.0,0.0,0.0,630.0,10.0,3.0,2.0,0.0,1.0,1.0,8.0,2.0,3.0,4.0,517.0,17.0,3.0,0.0,9.0,1.0,22.0,1.0,1.0,1.0,347.0,201.0,2.0,9.0,17.0,32.0,16.0,9.0,1.0,2.0,7.0,2.0,501.0,2.0,1.0,0.0,29.0,30.0,4.0,0.0,50.0,21.0,18.0,297.0,75.0,0.0,22.0,4.0,2.0,1.0,98.0,8.0,1.0,20.0,467.0,0.0,3.0,0.0,0.0,3.0,7.0,41.0,3.0,1.0,0.0,558.0,2.0,29.0,3.0,9.0,154.0,19.0,105.0,16.0,10.0,2.0,258.0,5.0,3.0,5.0,9.0,21.0,47.0,7.0,0.0,7.0,8.0,508.0
3,21.0,1.2503793627395328,66.0,0.17737789203084833,0.9563253012048193,0.9109848484848485,0.20754716981132076,0.9010791366906474,1.0,0.0,0.9584717607973422,0.2727272727272727,0.6119402985074627,0.9936,0.9665144596651446,0.8336221837088388,0.01732283464566929,0.871304347826087,0.004073319755600814,0.0,0.8959627329192547,0.010327022375215147,0.06666666666666667,621.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,635.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,62.0,6.0,481.0,18.0,6.0,0.0,0.0,2.0,2.0,0.0,584.0,3.0,22.0,11.0,2.0,0.0,0.0,9.0,4.0,0.0,48.0,1.0,2.0,1.0,501.0,0.0,1.0,1.0,2.0,18.0,477.0,2.0,2.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,588.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,40.0,2.0,8.0,9.0,6.0,0.0,0.0,577.0,0.0,2.0,547.0,11.0,6.0,3.0,2.0,0.0,2.0,1.0,6.0,3.0,522.0,3.0,2.0,6.0,30.0,0.0,1.0,10.0,0.0,41.0
4,29.0,1.4777966506179614,89.0,0.9493464052287581,0.9475262368815592,0.0,0.1518375241779497,0.0,0.0,0.28125,0.9897119341563786,0.36363636363636365,0.0,0.9296,0.9619482496194824,0.0,0.988976377952756,0.0,0.0,0.03,0.7468944099378882,0.020654044750430294,0.0,581.0,0.0,0.0,25.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,632.0,0.0,20.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,4.0,0.0,553.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,628.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,3.0,0.0,569.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,478.0,0.0,0.0,8.0,0.0,1.0,0.0,12.0,2.0,0.0,568.0,0.0,0.0,18.0,0.0,0.0,0.0,5.0,4.0,0.0,146.0,2.0,0.0,4.0,481.0,2.0,0.0,2.0,17.0,0.0,548.0,0.0,0.0,2.0,0.0,12.0,0.0,2.0,5.0,0.0,601.0,0.0,0.0,4.0,1.0,2.0,0.0
5,51.0,0.2663737120803251,158.0,0.9141104294478528,0.9769230769230769,0.8556149732620321,0.8664047151277013,0.879045996592845,0.7195121951219512,0.9368600682593856,0.9300476947535771,0.7213114754098361,0.8554216867469879,0.9536,0.9665144596651446,0.8318890814558059,0.694488188976378,0.8973913043478261,0.8411405295315683,0.915,0.9083850931677019,0.8330464716006885,0.808130081300813,596.0,0.0,2.0,2.0,1.0,9.0,2.0,1.0,12.0,0.0,1.0,635.0,2.0,4.0,0.0,2.0,0.0,4.0,7.0,2.0,6.0,5.0,480.0,28.0,7.0,3.0,11.0,9.0,27.0,1.0,3.0,4.0,40.0,441.0,2.0,95.0,1.0,8.0,37.0,4.0,3.0,1.0,5.0,0.0,516.0,2.0,8.0,0.0,11.0,29.0,14.0,1.0,0.0,14.0,7.0,413.0,6.0,4.0,29.0,3.0,7.0,1.0,6.0,1.0,5.0,7.0,549.0,0.0,24.0,0.0,2.0,0.0,8.0,2.0,6.0,0.0,0.0,585.0,3.0,38.0,10.0,1.0,17.0,15.0,5.0,32.0,8.0,2.0,484.0,7.0,10.0,2.0,1.0,2.0,38.0,11.0,1.0,16.0,37.0,497.0
6,33.0,1.0378816224639902,97.0,0.9807355516637478,0.970679012345679,0.7883435582822086,0.4146341463414634,0.2,0.903755868544601,0.09090909090909091,0.9527687296416938,0.3333333333333333,0.1972508591065292,0.896,0.9573820395738204,0.8908145580589255,0.05354330708661417,0.01217391304347826,0.7841140529531568,0.006666666666666667,0.9083850931677019,0.010327022375215147,0.9333333333333333,560.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,0.0,629.0,7.0,2.0,0.0,0.0,1.0,2.0,7.0,9.0,2.0,6.0,514.0,11.0,0.0,1.0,2.0,1.0,0.0,40.0,2.0,0.0,83.0,34.0,3.0,22.0,12.0,6.0,0.0,473.0,0.0,2.0,2.0,2.0,7.0,0.0,1.0,9.0,0.0,552.0,1.0,0.0,4.0,0.0,1.0,385.0,17.0,1.0,1.0,81.0,1.0,1.0,10.0,10.0,0.0,9.0,4.0,0.0,2.0,563.0,1.0,0.0,21.0,6.0,8.0,0.0,0.0,585.0,0.0,23.0,1.0,7.0,9.0,14.0,0.0,7.0,5.0,0.0,6.0,532.0,3.0,3.0,1.0,3.0,15.0,2.0,2.0,10.0,2.0,574.0
7,20.0,0.7990967830266243,64.0,0.9605263157894737,0.9578947368421052,0.5274725274725275,0.694980694980695,0.9362637362637363,0.579185520361991,0.8931419457735247,0.9658119658119658,0.26519607843137255,0.0,0.9344,0.969558599695586,0.0831889081455806,0.28346456692913385,0.7408695652173913,0.7820773930753564,0.9333333333333333,0.8773291925465838,0.9311531841652324,0.0,584.0,0.0,2.0,0.0,0.0,8.0,3.0,0.0,26.0,2.0,0.0,637.0,5.0,2.0,0.0,1.0,0.0,0.0,12.0,0.0,9.0,12.0,48.0,6.0,5.0,2.0,24.0,2.0,466.0,3.0,2.0,3.0,2.0,180.0,0.0,255.0,1.0,6.0,185.0,1.0,0.0,1.0,8.0,1.0,426.0,0.0,17.0,1.0,121.0,0.0,4.0,1.0,1.0,33.0,6.0,384.0,17.0,0.0,44.0,1.0,1.0,0.0,9.0,1.0,7.0,4.0,560.0,0.0,18.0,0.0,3.0,5.0,8.0,2.0,3.0,0.0,0.0,565.0,58.0,0.0,4.0,3.0,7.0,14.0,4.0,6.0,2.0,0.0,541.0,0.0,1.0,3.0,1.0,20.0,4.0,3.0,3.0,11.0,569.0,0.0
8,37.0,0.698173724933987,118.0,0.9635761589403974,0.9737654320987654,0.688034188034188,0.6280864197530864,0.9609856262833676,0.9032258064516129,0.890728476821192,0.9473684210526315,0.23880597014925373,0.3107183580387685,0.9312,0.9604261796042618,0.27902946273830154,0.6409448818897637,0.8139130434782609,0.5132382892057027,0.8966666666666666,0.8944099378881988,0.055077452667814115,0.8861788617886179,582.0,0.0,2.0,0.0,0.0,4.0,5.0,1.0,3.0,28.0,0.0,631.0,2.0,3.0,2.0,0.0,0.0,0.0,4.0,15.0,4.0,4.0,161.0,3.0,2.0,0.0,37.0,1.0,5.0,360.0,0.0,2.0,2.0,407.0,0.0,18.0,2.0,9.0,57.0,138.0,2.0,1.0,12.0,1.0,468.0,1.0,4.0,4.0,2.0,80.0,5.0,2.0,4.0,159.0,2.0,252.0,15.0,0.0,16.0,36.0,3.0,1.0,35.0,2.0,1.0,2.0,538.0,0.0,2.0,16.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0,576.0,1.0,57.0,2.0,3.0,12.0,48.0,2.0,2.0,1.0,0.0,32.0,479.0,3.0,4.0,4.0,22.0,7.0,0.0,1.0,17.0,12.0,545.0
9,27.0,1.3538120776196723,84.0,0.9614093959731543,0.9304733727810651,0.9281553398058252,0.32954545454545453,0.0,0.0,0.21052631578947367,0.9908536585365854,0.3541666666666667,0.1635969664138678,0.9168,0.9573820395738204,0.82842287694974,0.04566929133858268,0.0,0.0,0.02,0.5046583850931677,0.029259896729776247,0.9821138211382113,573.0,0.0,1.0,1.0,0.0,0.0,23.0,2.0,0.0,25.0,0.0,629.0,2.0,4.0,0.0,0.0,0.0,0.0,10.0,12.0,6.0,11.0,478.0,29.0,0.0,0.0,3.0,0.0,0.0,50.0,2.0,3.0,19.0,29.0,0.0,0.0,0.0,1.0,6.0,575.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,567.0,4.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,1.0,474.0,6.0,1.0,6.0,7.0,0.0,0.0,12.0,0.0,0.0,568.0,1.0,8.0,3.0,5.0,0.0,0.0,4.0,325.0,8.0,290.0,2.0,21.0,3.0,5.0,0.0,0.0,6.0,0.0,17.0,527.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,604.0
